Brandname;ActiveIngredient;Strength;DosageForm;ATC;PrescribingProduct
Sulfadiazine Suspensie FNA;Sulfadiazine;100 mg/ml;Suspensie;J01EC02;Sulfadiazine - 100 mg/ml + Suspensie
Fenylbutazon Capsules FNA;Fenylbutazon;100 mg;Capsule;M01AA01;Fenylbutazon - 100 mg + Capsule
Erytromycine Oogzalf FNA;Erytromycine;5 mg/g;Zalf ;S01AA17;Erytromycine - 5 mg/g + Zalf 
Lidocaïne/levomentholgel FNA;Lidocaïne/levomenthol;;Gel;D04AB01;Lidocaïne/levomenthol -  + Gel
Lidocaïne zinkoxidesmeersel FNA;Lidocaïne;;Smeersel ;D04AB01;Lidocaïne -  + Smeersel 
Carbomeerwatergel 1% FNA;Carbomeerwater;;Gel;D02AX;Carbomeerwater -  + Gel
Isosorbidedinitraat Vaselinecrème FNA;Isosorbidedinitraat;10 mg/g;Vaselinecrème ;C05AE02;Isosorbidedinitraat - 10 mg/g + Vaselinecrème 
Kaliumwaterstoftartraat Suspensie FNA;Kaliumwaterstoftartraat;188 mg/ml;Suspensie;A12BA03;Kaliumwaterstoftartraat - 188 mg/ml + Suspensie
Miconazol oordruppels FNA;Miconazol;20 mg/g;Oordruppels;S02AA13;Miconazol - 20 mg/g + Oordruppels
Glycerol gorgeldrank FNA;Glycerol;42,5 mg/ml;Gorgeldrank;R02AA20;Glycerol - 42,5 mg/ml + Gorgeldrank
Griseofulvine suspensie FNA;Griseofulvine;25 mg/ml;Suspensie voor oraal gebruik;D01BA01;Griseofulvine - 25 mg/ml + Suspensie voor oraal gebruik
Paraffine emulsie FNA;Paraffine;0,6 ml/ml;Emulsie voor oraal gebruik;A06AA01;Paraffine - 0,6 ml/ml + Emulsie voor oraal gebruik
Aluminiumchloride Oplossing FNA;Aluminiumchloride;200 mg/ml;Oplossing;D11AA;Aluminiumchloride - 200 mg/ml + Oplossing
Folinezuur oogdruppels FNA;Folinezuur;0,3 mg/ml;Oogdruppels;V03AF03;Folinezuur - 0,3 mg/ml + Oogdruppels
Folinezuur oogdruppels FNA;Folinezuur;0,3 mg/ml;Oogdruppels;V03AF03;Folinezuur - 0,3 mg/ml + Oogdruppels
Folinezuur oogdruppels FNA;Folinezuur;10 mg/ml;Oogdruppels;V03AF03;Folinezuur - 10 mg/ml + Oogdruppels
Folinezuur oogdruppels FNA;Folinezuur;10 mg/ml;Oogdruppels;V03AF03;Folinezuur - 10 mg/ml + Oogdruppels
Aluminiumacetotartraat Oordruppels FNA;Aluminiumacetotartraat;12 mg/g;Oordruppels ;S02AA04;Aluminiumacetotartraat - 12 mg/g + Oordruppels 
Aluminiumacetotartraat Oordruppels FNA;Aluminiumacetotartraat;120 mg/g;Oordruppels ;S02AA04;Aluminiumacetotartraat - 120 mg/g + Oordruppels 
Ferrochloride Drank FNA;Ferrochloride;45 mg/ml;Drank;B03AA05;Ferrochloride - 45 mg/ml + Drank
Levomenthol Stoomdruppels FNA;Levomenthol;50 mg/ml;Stoomdruppels;R05X;Levomenthol - 50 mg/ml + Stoomdruppels
Cyclizine zetpil FNA;Cyclizine;100 mg;Zetpil ;R06AE03;Cyclizine - 100 mg + Zetpil 
Natriumchloride Oogwassing FNA;Natriumchloride;9 mg/ml;Oogwassing;S01XA20;Natriumchloride - 9 mg/ml + Oogwassing
Acetylcysteïne Oogdruppels FNA;Acetylcysteïne;50 mg/ml;Oogdruppels ;S01XA08;Acetylcysteïne - 50 mg/ml + Oogdruppels 
Beclometason Klysma FNA;Beclometason;0,03 mg/g;Klysma ;A07EA07;Beclometason - 0,03 mg/g + Klysma 
Chloorpromazine Zetpillen FNA;Chloorpromazine;25 mg;Zetpil;N05AA01;Chloorpromazine - 25 mg + Zetpil
Chloorpromazine Zetpillen FNA;Chloorpromazine;100 mg;Zetpil;N05AA01;Chloorpromazine - 100 mg + Zetpil
Podofylline Collodium FNA;Podofylline;50 mg/g;Collodium ;D06BB04;Podofylline - 50 mg/g + Collodium 
Podofylline Collodium FNA;Podofylline;200 mg/g;Collodium ;D06BB04;Podofylline - 200 mg/g + Collodium 
Podofylline Collodium FNA;Podofylline;250 mg/g;Collodium ;D06BB04;Podofylline - 250 mg/g + Collodium 
Clioquinol suspensie FNA;Clioquinol;100 mg/ml;Suspensie;P01AA02;Clioquinol - 100 mg/ml + Suspensie
Metronidazol gel FNA;Metronidazol;10 mg/g;Gel steriel ;D06BX01;Metronidazol - 10 mg/g + Gel steriel 
Ergocoffeïne Zetpillen FNA;Ergocoffeïne;;Zetpil;N02CA52;Ergocoffeïne -  + Zetpil
Dimethylsulfoxide vaselinecrème/oplossing FNA;Dimethylsulfoxide;500 mg/g;Crème ;M02AX03;Dimethylsulfoxide - 500 mg/g + Crème 
Dimethylsulfoxide vaselinecrème/oplossing FNA;Dimethylsulfoxide;500 mg/g;Oplossing ;M02AX03;Dimethylsulfoxide - 500 mg/g + Oplossing 
Ditranol-Salicylzuur Collodium FNA;Ditranol-Salicylzuur;;Applicatievloeistof;D11AF;Ditranol-Salicylzuur -  + Applicatievloeistof
Benzoëzuursalicylzuur crème/zalf FNA;Benzoëzuursalicylzuur;;Crème;D01AE20;Benzoëzuursalicylzuur -  + Crème
Benzoëzuursalicylzuur crème/zalf FNA;Benzoëzuursalicylzuur;;Zalf;D01AE20;Benzoëzuursalicylzuur -  + Zalf
Benzylbenzoaat smeersel 25% FNA;Benzylbenzoaat;250 mg/g;Smeersel;P03AX01;Benzylbenzoaat - 250 mg/g + Smeersel
Fosfaatdrank 1 mmol/ml FNA;Fosfaat;156 mg/ml;Drank;A12CX;Fosfaat - 156 mg/ml + Drank
Tretinoïne crème/oplossing FNA;Tretinoïne;0,2 mg/g;Crème ;D10AD01;Tretinoïne - 0,2 mg/g + Crème 
Tretinoïne crème/oplossing FNA;Tretinoïne;0,5 mg/g;Crème ;D10AD01;Tretinoïne - 0,5 mg/g + Crème 
Tretinoïne crème/oplossing FNA;Tretinoïne;0,2 mg/ml;Oplossing ;D10AD01;Tretinoïne - 0,2 mg/ml + Oplossing 
Tretinoïne crème/oplossing FNA;Tretinoïne;0,5 mg/ml;Oplossing ;D10AD01;Tretinoïne - 0,5 mg/ml + Oplossing 
Tretinoïne crème/oplossing FNA;Tretinoïne;1 mg/ml;Oplossing ;D10AD01;Tretinoïne - 1 mg/ml + Oplossing 
Triamcinolon-Ureum Crème FNA;Triamcinolon-Ureum;;Crème ;D07XB02;Triamcinolon-Ureum -  + Crème 
Waterstofperoxide Oplossing 3% FNA;Waterstofperoxide;30 mg/ml;Concentraat voor mondspoeling;A01AB02;Waterstofperoxide - 30 mg/ml + Concentraat voor mondspoeling
Tranexaminezuur mondspoeling 5% FNA;Tranexaminezuur;50 mg/ml;Mondspoeling;A01AD11;Tranexaminezuur - 50 mg/ml + Mondspoeling
Tetracycline oogdruppels/zalf FNA;Tetracycline;5 mg/ml;Oogdruppels ;S01AA09;Tetracycline - 5 mg/ml + Oogdruppels 
Tetracycline oogdruppels/zalf FNA;Tetracycline;10 mg/g;Oogzalf ;S01AA09;Tetracycline - 10 mg/g + Oogzalf 
Tetracycline Crème/Smeersel/Zalf FNA;Tetracycline;30 mg/g;Crème ;D06AA04;Tetracycline - 30 mg/g + Crème 
Tetracycline Crème/Smeersel/Zalf FNA;Tetracycline;10 mg/g;Smeersel ;D06AA04;Tetracycline - 10 mg/g + Smeersel 
Tetracycline Crème/Smeersel/Zalf FNA;Tetracycline;10 mg/g;Zalf  ;D06AA04;Tetracycline - 10 mg/g + Zalf  
Tetracycline Crème/Smeersel/Zalf FNA;Tetracycline;30 mg/g;Zalf ;D06AA04;Tetracycline - 30 mg/g + Zalf 
Levomenthol crème/gel/schudsel FNA;Levomenthol;10 mg/g;Crème ;D04AX;Levomenthol - 10 mg/g + Crème 
Levomenthol crème/gel/schudsel FNA;Levomenthol;10 mg/g;Gel ;D04AX;Levomenthol - 10 mg/g + Gel 
Levomenthol crème/gel/schudsel FNA;Levomenthol;10 mg/g;Schudsel ;D04AX;Levomenthol - 10 mg/g + Schudsel 
Jodiumoplossing 1%, alcoholisch FNA;Jodiumoplossing;10 mg/g;Alcoholische oplossing;D08AG03;Jodiumoplossing - 10 mg/g + Alcoholische oplossing
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;3 g;Poeder;A06AD13;Natriumsulfaat - 3 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;6 g;Poeder;A06AD13;Natriumsulfaat - 6 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;9 g;Poeder;A06AD13;Natriumsulfaat - 9 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;12 g;Poeder;A06AD13;Natriumsulfaat - 12 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;15 g;Poeder;A06AD13;Natriumsulfaat - 15 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;18 g;Poeder;A06AD13;Natriumsulfaat - 18 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;21 g;Poeder;A06AD13;Natriumsulfaat - 21 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;24 g;Poeder;A06AD13;Natriumsulfaat - 24 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;27 g;Poeder;A06AD13;Natriumsulfaat - 27 g + Poeder
Natriumsulfaatpoeder voor Drank FNA;Natriumsulfaat;30 g;Poeder;A06AD13;Natriumsulfaat - 30 g + Poeder
Hydrocortison-Ureum Zalf FNA;Hydrocortison-Ureum;;Zalf;D07XA01;Hydrocortison-Ureum -  + Zalf
Paracetamol/Codeïne Zetpillen FNA;Paracetamol/Codeïne;;Zetpil;N02AJ06;Paracetamol/Codeïne -  + Zetpil
Paracetamol/Codeïne Zetpillen FNA;Paracetamol/Codeïne;;Zetpil;N02AJ06;Paracetamol/Codeïne -  + Zetpil
Paracetamol/Codeïne Zetpillen FNA;Paracetamol/Codeïne;;Zetpil;N02AJ06;Paracetamol/Codeïne -  + Zetpil
Paracetamol/Codeïne Zetpillen FNA;Paracetamol/Codeïne;;Zetpil;N02AJ06;Paracetamol/Codeïne -  + Zetpil
Paracetamol/Codeïne Zetpillen FNA;Paracetamol/Codeïne;;Zetpil;N02AJ06;Paracetamol/Codeïne -  + Zetpil
Polymyxine B oordruppels 0,1% FNA;Polymyxine B;10.000 IE/ml;Oordruppels;S02AA11;Polymyxine B - 10.000 IE/ml + Oordruppels
Clindamycine vaginaal crème FNA;Clindamycine;20 mg/g;Vaginale crème ;G01AA10;Clindamycine - 20 mg/g + Vaginale crème 
Aluin Strooipoeder, samengesteld FNA;Aluin;;Strooipoeder;D11AA;Aluin -  + Strooipoeder
Aluminiumhydroxychloride Crème/Oplossing FNA;Aluminiumhydroxychloride;200 mg/g;Crème ;D11AA;Aluminiumhydroxychloride - 200 mg/g + Crème 
Aluminiumhydroxychloride Crème/Oplossing FNA;Aluminiumhydroxychloride;150 mg/ml;Oplossing ;D11AA;Aluminiumhydroxychloride - 150 mg/ml + Oplossing 
Natriumchloride Neusdruppels/Neusspray FNA;Natriumchloride;8 mg/ml;Druppels ;R01AX10;Natriumchloride - 8 mg/ml + Druppels 
Natriumchloride Neusdruppels/Neusspray FNA;Natriumchloride;8 mg/ml;Spray ;R01AX10;Natriumchloride - 8 mg/ml + Spray 
Ditranol Crème/Zalf FNA;Ditranol;0,5 mg/g;Crème ;D05AC01;Ditranol - 0,5 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;1 mg/g;Crème ;D05AC01;Ditranol - 1 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;2 mg/g;Crème ;D05AC01;Ditranol - 2 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;3 mg/g;Crème ;D05AC01;Ditranol - 3 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;4 mg/g;Crème ;D05AC01;Ditranol - 4 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;6 mg/g;Crème ;D05AC01;Ditranol - 6 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;8 mg/g;Crème ;D05AC01;Ditranol - 8 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;10 mg/g;Crème ;D05AC01;Ditranol - 10 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;20 mg/g;Crème ;D05AC01;Ditranol - 20 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;30 mg/g;Crème ;D05AC01;Ditranol - 30 mg/g + Crème 
Ditranol Crème/Zalf FNA;Ditranol;0,5 mg/g;Zalf ;D05AC01;Ditranol - 0,5 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;1 mg/g;Zalf ;D05AC01;Ditranol - 1 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;2 mg/g;Zalf ;D05AC01;Ditranol - 2 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;3 mg/g;Zalf ;D05AC01;Ditranol - 3 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;4 mg/g;Zalf ;D05AC01;Ditranol - 4 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;6 mg/g;Zalf ;D05AC01;Ditranol - 6 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;8 mg/g;Zalf ;D05AC01;Ditranol - 8 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;10 mg/g;Zalf ;D05AC01;Ditranol - 10 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;20 mg/g;Zalf ;D05AC01;Ditranol - 20 mg/g + Zalf 
Ditranol Crème/Zalf FNA;Ditranol;30 mg/g;Zalf ;D05AC01;Ditranol - 30 mg/g + Zalf 
Koolteer vaselinecrème/zinkoxidepasta/zalf FNA;Koolteer;;Pasta ;D05AA;Koolteer -  + Pasta 
Koolteer vaselinecrème/zinkoxidepasta/zalf FNA;Koolteer;;Pasta ;D05AA;Koolteer -  + Pasta 
Koolteer vaselinecrème/zinkoxidepasta/zalf FNA;Koolteer;;Vaselinecrème ;D05AA;Koolteer -  + Vaselinecrème 
Koolteer vaselinecrème/zinkoxidepasta/zalf FNA;Koolteer;;Vaselinecrème ;D05AA;Koolteer -  + Vaselinecrème 
Koolteer vaselinecrème/zinkoxidepasta/zalf FNA;Koolteer;;Zalf ;D05AA;Koolteer -  + Zalf 
Koolteer vaselinecrème/zinkoxidepasta/zalf FNA;Koolteer;;Zalf ;D05AA;Koolteer -  + Zalf 
Natriumchloride Oogdruppels/Oogzalf FNA;Natriumchloride;50 mg/ml;Oogdruppels;S01XA03;Natriumchloride - 50 mg/ml + Oogdruppels
Natriumchloride Oogdruppels/Oogzalf FNA;Natriumchloride;50 mg/g;Oogzalf;S01XA03;Natriumchloride - 50 mg/g + Oogzalf
Beclometason-Mesalazine Klysma FNA;Beclometason-Mesalazine;;Klysma;A07E;Beclometason-Mesalazine -  + Klysma
Beclometason-Mesalazine Klysma FNA;Beclometason-Mesalazine;;Klysma;A07E;Beclometason-Mesalazine -  + Klysma
Beclometason-Mesalazine Klysma FNA;Beclometason-Mesalazine;;Klysma;A07E;Beclometason-Mesalazine -  + Klysma
Beclometason-Mesalazine Klysma FNA;Beclometason-Mesalazine;;Klysma;A07E;Beclometason-Mesalazine -  + Klysma
Gentiaanviolet oplossing 1% FNA;Gentiaanviolet;10 mg/ml;Oplossing;D01AE02;Gentiaanviolet - 10 mg/ml + Oplossing
Chloralhydraat Drank/Klysma FNA;Chloralhydraat;100 mg/ml;Drank;N05CC01;Chloralhydraat - 100 mg/ml + Drank
Chloralhydraat Drank/Klysma FNA;Chloralhydraat;50 mg/ml;Klysma;N05CC01;Chloralhydraat - 50 mg/ml + Klysma
Chloralhydraat Drank/Klysma FNA;Chloralhydraat;150 mg/ml;Klysma;N05CC01;Chloralhydraat - 150 mg/ml + Klysma
Vitamine A Drank FNA;Vitamine;50.000 IE/ml;Drank;A11CA01;Vitamine - 50.000 IE/ml + Drank
Zure oordruppels met Triamcinolonacetonide 0,1% FNA;Zure oordruppels met Triamcinolonacetonide 0,1% ;;Oordruppels;S02CA04;Zure oordruppels met Triamcinolonacetonide 0,1%  -  + Oordruppels
Triamcinolon-Salicylzuur Crème/Oplossing/Smeersel FNA;Triamcinolon-Salicylzuur;;Crème ;D07XB02;Triamcinolon-Salicylzuur -  + Crème 
Triamcinolon-Salicylzuur Crème/Oplossing/Smeersel FNA;Triamcinolon-Salicylzuur;;Oplossing ;D07XB02;Triamcinolon-Salicylzuur -  + Oplossing 
Triamcinolon-Salicylzuur Crème/Oplossing/Smeersel FNA;Triamcinolon-Salicylzuur;;Smeersel ;D07XB02;Triamcinolon-Salicylzuur -  + Smeersel 
Zure oordruppels met Hydrocortison 1% FNA;Zure oordruppels met Hydrocortison 1% ;;Oordruppels;S02CA03;Zure oordruppels met Hydrocortison 1%  -  + Oordruppels
Dexamethason/Chlooramfenicol/Polymyxine B oordruppels FNA;Dexamethason/Chlooramfenicol/Polymyxine B;;Oordruppels;S02CA06;Dexamethason/Chlooramfenicol/Polymyxine B -  + Oordruppels
Dexamethason/Chlooramfenicol/Polymyxine B oogdruppels FNA;Dexamethason/Chlooramfenicol/Polymyxine B;;Oogdruppels;S01CA01;Dexamethason/Chlooramfenicol/Polymyxine B -  + Oogdruppels
