Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Locoid vetcrème 0,1%, crème 1 mg/g;HYDROCORTISON;0,1%;Crème;HYDROCORTISON - 0,1% - Crème
Libradin 20, 20 mg harde capsules met gereguleerde afgifte;BARNIDIPINE;20 mg;Capsule met gereguleerde afgifte;BARNIDIPINE - 20 mg - Capsule met gereguleerde afgifte
Enoxaparine Medcor 8.000 IE (80 mg)/0,8 ml oplossing voor injectie in een voorgevulde spuit;ENOXAPARINE;8.000 IE;Oplossing voor injectie;ENOXAPARINE - 8.000 IE - Oplossing voor injectie
Metoclopramidehydrochloride Eureco-Pharma 10 mg/2 ml, oplossing voor injectie;METOCLOPRAMIDE;10 mg/2 ml;Oplossing voor injectie;METOCLOPRAMIDE - 10 mg/2 ml - Oplossing voor injectie
Primperan 10 mg/2 ml, oplossing voor injectie;METOCLOPRAMIDE;10 mg/2 ml;Oplossing voor injectie;METOCLOPRAMIDE - 10 mg/2 ml - Oplossing voor injectie
Glepark 0,35 mg tabletten;PRAMIPEXOL;0,35 mg;Tablet;PRAMIPEXOL - 0,35 mg - Tablet
Equasym XL 30 mg capsules met gereguleerde afgifte, hard;METHYLFENIDAAT;30 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 30 mg - Capsule met gereguleerde afgifte
BOTOX, 100 Allerganeenheden, poeder voor oplossing voor injectie;BOTULINUM TOXINE, Type A;100 Allerganeenheden;Poeder voor oplossing voor injectie;BOTULINUM TOXINE, Type A - 100 Allerganeenheden - Poeder voor oplossing voor injectie
Kenacort-A 40, suspensie voor injectie 40 mg/ml;TRIAMCINOLONACETONIDE;40 mg/ml;Suspensie voor injectie;TRIAMCINOLONACETONIDE - 40 mg/ml - Suspensie voor injectie
Flixotide Diskus 250 microgram/dosis, inhalatiepoeder, voorverdeeld;FLUTICASON;250 mcg/dosis;Inhalatiepoeder;FLUTICASON - 250 mcg/dosis - Inhalatiepoeder
Mesalazine Medcor 1200 mg, maagsapresistente tabletten met verlengde afgifte;MESALAZINE;1200 mg;Maagsapresistente tablet;MESALAZINE - 1200 mg - Maagsapresistente tablet
Actilyse 50 mg poeder en oplosmiddel voor oplossing voor injectie en infusie;ALTEPLASE;50 mg;Poeder en oplosmiddel voor oplossing voor injectie;ALTEPLASE - 50 mg - Poeder en oplosmiddel voor oplossing voor injectie
Wynzora 50 microgram/g + 0,5 mg/g crème;BETAMETHASON/CALCIPOTRIOL;50 mcg/g;Crème;BETAMETHASON/CALCIPOTRIOL - 50 mcg/g - Crème
SAFLUTAN 15 microgram/ml oogdruppels, oplossing, verpakking voor eenmalig gebruik;TAFLUPROST;15 mcg/ml;Oogdruppels;TAFLUPROST - 15 mcg/ml - Oogdruppels
Ursochol 300 mg, tabletten;URSODEOXYCHOLZUUR;300 mg;Tablet;URSODEOXYCHOLZUUR - 300 mg - Tablet
Zovirax Infuus, poeder voor oplossing voor infusie 250 mg;ACICLOVIR;250 mg;Poeder voor oplossing voor infusie;ACICLOVIR - 250 mg - Poeder voor oplossing voor infusie
Ciproxin 50 mg/ml, granulaat en oplosmiddel voor orale suspensie;CIPROFLOXACINE GEHYDRATEERD;50 mg/ml;Suspensie voor oraal gebruik;CIPROFLOXACINE GEHYDRATEERD - 50 mg/ml - Suspensie voor oraal gebruik
Coversyl arg 10 mg, filmomhulde tabletten;PERINDOPRIL;10 mg;Filmomhulde tablet;PERINDOPRIL - 10 mg - Filmomhulde tablet
Decigatan 1,5 mg, tabletten;CYTISINE;1,5 mg;Tablet;CYTISINE - 1,5 mg - Tablet
Pentacarinat 300 mg, poeder voor verneveloplossing;PENTAMIDINE DI-ISETIONAAT;300 mg;Poeder voor verneveloplossing;PENTAMIDINE DI-ISETIONAAT - 300 mg - Poeder voor verneveloplossing
Fenofibraat Medcor 160 mg harde capsules;FENOFIBRAAT;160 mg;Capsule;FENOFIBRAAT - 160 mg - Capsule
Lucrin PDS Depot 3 maanden 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE;11,25 mg;Poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie
Leuproreline-acetaat Eureco-Pharma PDS Depot 3 maanden 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE;11,25 mg;Poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie
Xylocaine 20 mg/g Gel, catheterslijm;LIDOCAINE;20 mg/g;Gel voor urethraal gebruik;LIDOCAINE - 20 mg/g - Gel voor urethraal gebruik
Zoladex-3,6, implantatiestaafje 3,6 mg;GOSERELINE;3,6 mg;Implantatietablet;GOSERELINE - 3,6 mg - Implantatietablet
Puri-Nethol, 50 mg tabletten;MERCAPTOPURINE;50 mg;Tablet;MERCAPTOPURINE - 50 mg - Tablet
Cytotec 200 microgram, tabletten;MISOPROSTOL;200 mcg;Tablet;MISOPROSTOL - 200 mcg - Tablet
Tavegyl 1 mg/ml, oplossing voor injectie;CLEMASTINE;1 mg/ml;Oplossing voor injectie;CLEMASTINE - 1 mg/ml - Oplossing voor injectie
Clemastine Eureco - Pharma 1 mg/ml, oplossing voor injectie;CLEMASTINE;1 mg/ml;Oplossing voor injectie;CLEMASTINE - 1 mg/ml - Oplossing voor injectie
Desuric 100 mg, tabletten;BENZBROMARON;100 mg;Tablet;BENZBROMARON - 100 mg - Tablet
Maxalt Smelt 10 mg, smelttabletten;RIZATRIPTAN;10 mg;Orodispergeerbare tablet;RIZATRIPTAN - 10 mg - Orodispergeerbare tablet
Flixotide Diskus 500 microgram/dosis, inhalatiepoeder, voorverdeeld;FLUTICASON;500 mcg/dosis;Inhalatiepoeder;FLUTICASON - 500 mcg/dosis - Inhalatiepoeder
Diprosone 0,5 mg/g créme;BETAMETHASON;0,5 mg/g;Crème;BETAMETHASON - 0,5 mg/g - Crème
Foster 200/6 microgram/dosis, aërosol, oplossing;BECLOMETASON/FORMOTEROL;200/6 mcg/dosis;Aërosol;BECLOMETASON/FORMOTEROL - 200/6 mcg/dosis - Aërosol
Equasym  XL 10 mg, capsules met gereguleerde afgifte, hard;METHYLFENIDAAT;10 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 10 mg - Capsule met gereguleerde afgifte
Oxis 6 Turbuhaler, 6 microgram/dosis, inhalatiepoeder;FORMOTEROL;6 mcg/dosis;Inhalatiepoeder;FORMOTEROL - 6 mcg/dosis - Inhalatiepoeder
Minims Pilocarpinenitraat 20 mg/ml, oogdruppels, oplossing;PILOCARPINE;20 mg/ml;Oogdruppels;PILOCARPINE - 20 mg/ml - Oogdruppels
GlucaGen HypoKit 1 mg, poeder en oplosmiddel voor oplossing voor injectie;GLUCAGON;1 mg;Poeder en oplosmiddel voor oplossing voor injectie;GLUCAGON - 1 mg - Poeder en oplosmiddel voor oplossing voor injectie
Brufen Retard 800 mg, tablet met gereguleerde afgifte;IBUPROFEN;800 mg;Tablet met gereguleerde afgifte;IBUPROFEN - 800 mg - Tablet met gereguleerde afgifte
Metformine HCl 1A Pharma 1000 mg, filmomhulde tabletten;METFORMINE;1000 mg;Filmomhulde tablet;METFORMINE - 1000 mg - Filmomhulde tablet
Vesomni 6 mg/0,4 mg tabletten met gereguleerde afgifte;SOLIFENACINE/TAMSULOSINE;6 mg/0,4 mg;Tablet met gereguleerde afgifte;SOLIFENACINE/TAMSULOSINE - 6 mg/0,4 mg - Tablet met gereguleerde afgifte
Ubretid 5 mg tabletten;DISTIGMINE;5 mg;Tablet;DISTIGMINE - 5 mg - Tablet
Hydroxyurea Eureco-Pharma 500 mg, harde capsules;HYDROXYCARBAMIDE;500 mg;Capsule;HYDROXYCARBAMIDE - 500 mg - Capsule
Salofalk 1,5 g Granu-Stix, granulaat met verlengde afgifte;MESALAZINE;1,5 g;Maagsapresistent granulaat;MESALAZINE - 1,5 g - Maagsapresistent granulaat
Fraxiparine Forte 11.400 IE/0,6 ml, oplossing voor injectie;NADROPARINE;11,400 IE/0,6 ml;Oplossing voor injectie;NADROPARINE - 11,400 IE/0,6 ml - Oplossing voor injectie
Femoston continu 1 mg/5 mg, filmomhulde tabletten;DYDROGESTERON/ESTRADIOL;1 mg/5 mg;Filmomhulde tablet;DYDROGESTERON/ESTRADIOL - 1 mg/5 mg - Filmomhulde tablet
Libradin 10, 10 mg harde capsules met gereguleerde afgifte;BARNIDIPINE;10 mg;Capsule met gereguleerde afgifte;BARNIDIPINE - 10 mg - Capsule met gereguleerde afgifte
Liposic ooggel 2 mg/g;CARBOMEER (TYPE UNKNOWN);2 mg/g;Ooggel;CARBOMEER (TYPE UNKNOWN) - 2 mg/g - Ooggel
Liposic, ooggel 2 mg/g;CARBOMEER 980;2 mg/g;Ooggel;CARBOMEER 980 - 2 mg/g - Ooggel
Xylocaine 2%- Adrenaline, injectievloeistof 20 mg/ml + 5 microgram/ml;ADRENALINE/LIDOCAINE;2%;Oplossing voor injectie;ADRENALINE/LIDOCAINE - 2% - Oplossing voor injectie
Microgynon 50, 0,125 mg/0,05 mg omhulde tabletten;ETHINYLESTRADIOL/LEVONORGESTREL;0,125 mg/0,05 mg;Omhulde tablet;ETHINYLESTRADIOL/LEVONORGESTREL - 0,125 mg/0,05 mg - Omhulde tablet
Amisulpride ERC 100 mg, tabletten;AMISULPRIDE;100 mg;Tablet;AMISULPRIDE - 100 mg - Tablet
Sandostatine LAR 20 mg, poeder en oplosmiddel voor suspensie voor injectie;OCTREOTIDE;20 mg;Poeder en oplosmiddel voor suspensie voor injectie;OCTREOTIDE - 20 mg - Poeder en oplosmiddel voor suspensie voor injectie
Betaserc 16 mg, tabletten;BETAHISTINE;16 mg;Tablet;BETAHISTINE - 16 mg - Tablet
Fosrenol 500 mg kauwtabletten;LANTHAAN;500 mg;Kauwtablet;LANTHAAN - 500 mg - Kauwtablet
Inegy 10 mg/20 mg, tabletten;EZETIMIB/SIMVASTATINE;10 mg/20 mg;Tablet;EZETIMIB/SIMVASTATINE - 10 mg/20 mg - Tablet
Kinecteen 54 mg tabletten met verlengde afgifte;METHYLFENIDAAT;54 mg;Tablet met verlengde afgifte;METHYLFENIDAAT - 54 mg - Tablet met verlengde afgifte
Tranylcypromine Eureco-Pharma 20 mg, filmomhulde tabletten;TRANYLCYPROMINE;20 mg;Filmomhulde tablet;TRANYLCYPROMINE - 20 mg - Filmomhulde tablet
Tranylcypromine ERC 20 mg filmomhulde tabletten;TRANYLCYPROMINE;20 mg;Filmomhulde tablet;TRANYLCYPROMINE - 20 mg - Filmomhulde tablet
Atimos 12 microgram, aërosol, oplossing;FORMOTEROL;12 mcg;Aërosol;FORMOTEROL - 12 mcg - Aërosol
Atimos 12 microgram, Aërosol, oplossing;FORMOTEROL;12 mcg;Aërosol;FORMOTEROL - 12 mcg - Aërosol
Hyaluronidase BModesto 150 I.E., poeder voor injectievloeistof;HYALURONIDASE;150 IE;Poeder voor oplossing voor injectie;HYALURONIDASE - 150 IE - Poeder voor oplossing voor injectie
Pentasa Compact 2 g, granulaat met verlengde afgifte;MESALAZINE;2 g;Granulaat met verlengde afgifte;MESALAZINE - 2 g - Granulaat met verlengde afgifte
Flixotide 125 Inhalator CFK-vrij, aerosol, suspensie 125 microgram/dosis;FLUTICASON;125 mcg/dosis;Aërosol;FLUTICASON - 125 mcg/dosis - Aërosol
Sabril 500 mg granulaat voor drank;VIGABATRINE;500 mg;Granulaat voor drank;VIGABATRINE - 500 mg - Granulaat voor drank
Efexor XR 75, capsules met verlengde afgifte, hard, 75 mg;VENLAFAXINE;75 mg;Capsule met verlengde afgifte;VENLAFAXINE - 75 mg - Capsule met verlengde afgifte
Prograft 5 mg capsules, hard;TACROLIMUS;5 mg;Capsule;TACROLIMUS - 5 mg - Capsule
Serevent 25 Inhalator CFK-vrij, aërosol 25 microgram/dosis, suspensie;SALMETEROL;25 mcg/dosis;Aërosol;SALMETEROL - 25 mcg/dosis - Aërosol
Xylocaine 1% - Adrenaline, injectievloeistof 10 mg/ml + 0,005 mg/ml;ADRENALINE/LIDOCAINE;1%;Oplossing voor injectie;ADRENALINE/LIDOCAINE - 1% - Oplossing voor injectie
Xylocaine 1% - adrenaline, oplossing voor injectie 10 mg/ml + 5ug/ml;ADRENALINE/LIDOCAINE;1%;Oplossing voor injectie;ADRENALINE/LIDOCAINE - 1% - Oplossing voor injectie
Flixonase 400 microgram (1 mg/ml), neusdruppels, suspensie;FLUTICASON;400 mcg;Neusdruppels;FLUTICASON - 400 mcg - Neusdruppels
ACARIZAX 12 SQ-HDM, lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;12 SQ-HDM;Lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 12 SQ-HDM - Lyofilisaat voor sublinguaal gebruik
Salbutamol Mylan 100 CFK-vrije Inhalator, aërosol, suspensie, 100 microgram per dosis;SALBUTAMOL;100 mcg;Aërosol;SALBUTAMOL - 100 mcg - Aërosol
Alizem 30 mg zachte capsules;ALITRETINOÏNE;30 mg;Capsule;ALITRETINOÏNE - 30 mg - Capsule
Calcitonine Eureco-Pharma 100 IE/ml, oplossing voor injectie en infusie;CALCITONINE, ZALM;100 IE/ml;Oplossing voor injectie;CALCITONINE, ZALM - 100 IE/ml - Oplossing voor injectie
Sumatriptan SUN 6 mg/0,5 ml oplossing voor injectie;SUMATRIPTAN;6 mg/0,5 ml;Oplossing voor injectie;SUMATRIPTAN - 6 mg/0,5 ml - Oplossing voor injectie
Pentacarinat 300 mg, poeder voor oplossing voor injectie;PENTAMIDINE DI-ISETIONAAT;300 mg;Poeder voor oplossing voor injectie;PENTAMIDINE DI-ISETIONAAT - 300 mg - Poeder voor oplossing voor injectie
Buspiron HCl Aurobindo 10 mg, tabletten;BUSPIRON;10 mg;Tablet;BUSPIRON - 10 mg - Tablet
Sulfasalazine Sandoz 500, maagsapresistente tabletten 500 mg;SULFASALAZINE;500 mg;Maagsapresistente tablet;SULFASALAZINE - 500 mg - Maagsapresistente tablet
Methadon HCl Teva 10 mg, tabletten;METHADON;10 mg;Tablet;METHADON - 10 mg - Tablet
Spiolto Respimat 2,5 microgram/2,5 microgram, inhalatieoplossing;OLODATEROL/TIOTROPIUM;2,5 mcg/2,5 mcg;Inhalatieoplossing;OLODATEROL/TIOTROPIUM - 2,5 mcg/2,5 mcg - Inhalatieoplossing
Vepesid 100 mg capsules, zacht;ETOPOSIDE;100 mg;Capsule;ETOPOSIDE - 100 mg - Capsule
Alutard SQ Berkpollen 100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN BETULA VERRUCOSA POLLEN;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN BETULA VERRUCOSA POLLEN - 100,000 SQ-eenheden/ml - Suspensie voor injectie
Flagyl 500 mg ovule;METRONIDAZOL;500 mg;Ovule;METRONIDAZOL - 500 mg - Ovule
Inegy 10 mg/40 mg, tabletten;EZETIMIB/SIMVASTATINE;10 mg/40 mg;Tablet;EZETIMIB/SIMVASTATINE - 10 mg/40 mg - Tablet
Pulmicort 400 Turbuhaler, inhalatiepoeder 400 microgram/dosis;BUDESONIDE;400 mcg/dosis;Inhalatiepoeder;BUDESONIDE - 400 mcg/dosis - Inhalatiepoeder
Flurazepam HCl Aurobindo 15 mg, capsules;FLURAZEPAM MONO;15 mg;Capsule;FLURAZEPAM MONO - 15 mg - Capsule
Vepesid 50 mg capsules, zacht;ETOPOSIDE;50 mg;Capsule;ETOPOSIDE - 50 mg - Capsule
Mytolac 120 mg oplossing voor injectie in een voorgevulde spuit;LANREOTIDE;120 mg;Oplossing voor injectie;LANREOTIDE - 120 mg - Oplossing voor injectie
Zaditen 0,25 mg/ml, oogdruppels, oplossing;KETOTIFEN;0,25 mg/ml;Oogdruppels;KETOTIFEN - 0,25 mg/ml - Oogdruppels
Fragmin 15.000 IE/0,6 ml, oplossing voor injectie;DALTEPARINE;15,000 IE/0,6 ml;Oplossing voor injectie;DALTEPARINE - 15,000 IE/0,6 ml - Oplossing voor injectie
Imigran 20 Neusspray, neusspray 20 mg/dosis;SUMATRIPTANHEMI;20 mg/dosis;Neusspray;SUMATRIPTANHEMI - 20 mg/dosis - Neusspray
Elvanse 30 mg, harde capsules;LISDEXAMFETAMINE;30 mg;Capsule;LISDEXAMFETAMINE - 30 mg - Capsule
Clonidine HCl Sandoz 0,150, tabletten 0,150 mg;CLONIDINE;0,150 mg;Tablet;CLONIDINE - 0,150 mg - Tablet
EpiPen 300 microgram/dosis, oplossing voor injectie in een voorgevulde pen 1 mg/ml;ADRENALINE;300 mcg/dosis;Oplossing voor injectie;ADRENALINE - 300 mcg/dosis - Oplossing voor injectie
Mytolac 60 mg oplossing voor injectie in een voorgevulde spuit;LANREOTIDE;60 mg;Oplossing voor injectie;LANREOTIDE - 60 mg - Oplossing voor injectie
Lescol XL 80 mg, tabletten met verlengde afgifte;FLUVASTATINE;80 mg;Tablet met verlengde afgifte;FLUVASTATINE - 80 mg - Tablet met verlengde afgifte
Fevarin 50 mg, filmomhulde tabletten;FLUVOXAMINE;50 mg;Filmomhulde tablet;FLUVOXAMINE - 50 mg - Filmomhulde tablet
Fragmin 12.500 IE/0,5 ml, oplossing voor injectie;DALTEPARINE;12,500 IE/0,5 ml;Oplossing voor injectie;DALTEPARINE - 12,500 IE/0,5 ml - Oplossing voor injectie
Amoxicilline/Clavulaanzuur Eureco-Pharma 1000 mg/200 mg, poeder voor oplossing voor injectie/infusie;AMOXICILLINE/CLAVULANAAT;1000 mg/200 mg;Poeder voor oplossing voor injectie of infusie;AMOXICILLINE/CLAVULANAAT - 1000 mg/200 mg - Poeder voor oplossing voor injectie of infusie
Fragmin 10.000 IE/0,4 ml, oplossing voor injectie;DALTEPARINE;10,000 IE/0,4 ml;Oplossing voor injectie;DALTEPARINE - 10,000 IE/0,4 ml - Oplossing voor injectie
Cyress 10, 10 mg capsules met gereguleerde afgifte;BARNIDIPINE;10 mg;Capsule met gereguleerde afgifte;BARNIDIPINE - 10 mg - Capsule met gereguleerde afgifte
Pentasa 1g, tabletten met verlengde afgifte;MESALAZINE;1g;Tablet met verlengde afgifte;MESALAZINE - 1g - Tablet met verlengde afgifte
Abstral 200 microgram, tabletten voor sublinguaal gebruik;FENTANYL;200 mcg;Tablet voor sublinguaal gebruik;FENTANYL - 200 mcg - Tablet voor sublinguaal gebruik
Mytolac 90 mg oplossing voor injectie in een voorgevulde spuit;LANREOTIDE;90 mg;Oplossing voor injectie;LANREOTIDE - 90 mg - Oplossing voor injectie
Urapidil Nordic 50 mg/10 ml, oplossing voor injectie;URAPIDIL;50 mg/10 ml;Oplossing voor injectie;URAPIDIL - 50 mg/10 ml - Oplossing voor injectie
Creon 10.000 eenheden, harde maagsapresistente capsules;AMYLASE/LIPASE/PANCREATINE/PROTEASE;10,000 eenheden;Maagsapresistente capsule;AMYLASE/LIPASE/PANCREATINE/PROTEASE - 10,000 eenheden - Maagsapresistente capsule
Relpax 40 mg, filmomhulde tabletten;ELETRIPTAN;40 mg;Filmomhulde tablet;ELETRIPTAN - 40 mg - Filmomhulde tablet
Biltricide 600 mg, filmomhulde tabletten;PRAZIQUANTEL;600 mg;Filmomhulde tablet;PRAZIQUANTEL - 600 mg - Filmomhulde tablet
Alvesco Inhalator 160 microgram/dosis, aërosol, oplossing;CICLESONIDE;160 mcg/dosis;Aërosol;CICLESONIDE - 160 mcg/dosis - Aërosol
Alvesco 160 Inhalator, aërosol, oplossing 160 microgram/dosis;CICLESONIDE;160 mcg/dosis;Aërosol;CICLESONIDE - 160 mcg/dosis - Aërosol
Xanax Retard 1 mg, tabletten met gereguleerde afgifte;ALPRAZOLAM;1 mg;Tablet met verlengde afgifte;ALPRAZOLAM - 1 mg - Tablet met verlengde afgifte
Strumazol 10 mg, tabletten;THIAMAZOL;10 mg;Tablet;THIAMAZOL - 10 mg - Tablet
Actiq 200 microgram zuigtabletten met integrale applicator voor oromucosaal gebruik;FENTANYL;200 mcg;Zuigtablet;FENTANYL - 200 mcg - Zuigtablet
Efudix, crème 50 mg/g;FLUOROURACIL;50 mg/g;Crème;FLUOROURACIL - 50 mg/g - Crème
EpiPen junior 150 microgram/dosis, oplossing voor injectie in een voorgevulde pen 0,5 mg/ml;ADRENALINE;150 mcg/dosis;Oplossing voor injectie;ADRENALINE - 150 mcg/dosis - Oplossing voor injectie
Alphagan 0,2% w/v (2 mg/ml) oogdruppels, oplossing;BRIMONIDINE;0,2%;Oogdruppels;BRIMONIDINE - 0,2% - Oogdruppels
Depakine Chrono 300 mg, tabletten met gereguleerde afgifte;VALPROAAT/VALPROÏNEZUUR;300 mg;Tablet met verlengde afgifte;VALPROAAT/VALPROÏNEZUUR - 300 mg - Tablet met verlengde afgifte
Prograft 1 mg capsules, hard;TACROLIMUS;1 mg;Capsule;TACROLIMUS - 1 mg - Capsule
Depakine vloeistof voor kinderen, vloeistof voor oraal gebruik 300 mg/ml;VALPROAAT;300 mg/ml;Vloeistof voor oraal gebruik;VALPROAAT - 300 mg/ml - Vloeistof voor oraal gebruik
Promocard 30 Durettes, tabletten met gereguleerde afgifte 30 mg;ISOSORBIDEMONO;30 Du;Tablet met gereguleerde afgifte;ISOSORBIDEMONO - 30 Du - Tablet met gereguleerde afgifte
Aktiprol 50 mg tabletten;AMISULPRIDE;50 mg;Tablet;AMISULPRIDE - 50 mg - Tablet
Lanoxin 250, tabletten 0,250 mg;DIGOXINE;0,250 mg;Tablet;DIGOXINE - 0,250 mg - Tablet
Oxybutynine HCl 5 mg ICC, tabletten;OXYBUTYNINE;5 mg;Tablet;OXYBUTYNINE - 5 mg - Tablet
Paliperidon retard Teva 6 mg, tabletten met verlengde afgifte;PALIPERIDON;6 mg;Tablet met verlengde afgifte;PALIPERIDON - 6 mg - Tablet met verlengde afgifte
Pemetrexed BioOrganics 100 mg, poeder voor concentraat voor oplossing voor infusie;PEMETREXED;100 mg;Poeder voor concentraat voor oplossing voor infusie;PEMETREXED - 100 mg - Poeder voor concentraat voor oplossing voor infusie
Amoxicilline/Clavulaanzuur Centrient 875 mg/125 mg filmomhulde tabletten;AMOXICILLINE/CLAVULANAAT;875 mg/125 mg;Filmomhulde tablet;AMOXICILLINE/CLAVULANAAT - 875 mg/125 mg - Filmomhulde tablet
Tirosint SOL 50 microgram drank in verpakking voor éénmalig gebruik;LEVOTHYROXINE;50 mcg;Drank;LEVOTHYROXINE - 50 mcg - Drank
Maraviroc Amarox 300 mg filmomhulde tabletten;MARAVIROC;300 mg;Filmomhulde tablet;MARAVIROC - 300 mg - Filmomhulde tablet
Salbutamol Novolizer 100 microgram, inhalatiepoeder;SALBUTAMOL;100 mcg;Inhalatiepoeder;SALBUTAMOL - 100 mcg - Inhalatiepoeder
Duloxetine Amarox 60 mg, harde maagsapresistente capsules;DULOXETINE;60 mg;Capsule;DULOXETINE - 60 mg - Capsule
Refusal, tabletten 250 mg;DISULFIRAM;250 mg;Tablet;DISULFIRAM - 250 mg - Tablet
Losartan kalium  HCS 100 mg filmomhulde tabletten;LOSARTAN;100 mg;Filmomhulde tablet;LOSARTAN - 100 mg - Filmomhulde tablet
Furosemide Teva 20 mg, tabletten;FUROSEMIDE;20 mg;Tablet;FUROSEMIDE - 20 mg - Tablet
Temozolomide Amarox 180 mg, harde capsules;TEMOZOLOMIDE;180 mg;Capsule;TEMOZOLOMIDE - 180 mg - Capsule
Enalaprilmaleaat Teva 10 mg, tabletten;ENALAPRIL;10 mg;Tablet;ENALAPRIL - 10 mg - Tablet
Blizomit 10 mg/ml + 5 mg/ml oogdruppels, suspensie;BRINZOLAMIDE/TIMOLOL;10 mg/ml;Oogdruppels;BRINZOLAMIDE/TIMOLOL - 10 mg/ml - Oogdruppels
Fluconazol Pharmathen 50 mg, capsules, hard;FLUCONAZOL;50 mg;Capsule;FLUCONAZOL - 50 mg - Capsule
Letybo 50 eenheden poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINUM TOXINE TYPE A HAEMAGGLUTININECOMPLEX;50 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINUM TOXINE TYPE A HAEMAGGLUTININECOMPLEX - 50 eenheden - Poeder voor oplossing voor injectie
Thallium (201Tl) chloride CIS bio international 37 MBq/ml oplossing voor injectie;THALLIUM TL 201;37 MBq/ml;Oplossing voor injectie;THALLIUM TL 201 - 37 MBq/ml - Oplossing voor injectie
Pirfenidon Aurobindo 801 mg, tabletten;PIRFENIDON;801 mg;Tablet;PIRFENIDON - 801 mg - Tablet
Ropinirol Retard Viatris 4 mg, tabletten met verlengde afgifte;ROPINIROL;4 mg;Tablet met verlengde afgifte;ROPINIROL - 4 mg - Tablet met verlengde afgifte
Meropenem Venus Pharma 2000 mg poeder voor oplossing voor injectie/infusie;MEROPENEM;2000 mg;Poeder voor oplossing voor injectie of infusie;MEROPENEM - 2000 mg - Poeder voor oplossing voor injectie of infusie
Rizatriptan Aurobindo 5 mg, tabletten;RIZATRIPTAN;5 mg;Tablet;RIZATRIPTAN - 5 mg - Tablet
Rosuvastatine Aurobindo 5 mg, filmomhulde tabletten;ROSUVASTATINE;5 mg;Filmomhulde tablet;ROSUVASTATINE - 5 mg - Filmomhulde tablet
Olmesartanmedoxomil/Hydrochloorthiazide Aurobindo 20/12,5 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL;20/12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 20/12,5 mg - Filmomhulde tablet
NanoScan 500 microgram, kit voor radiofarmaceutisch preparaat;HUMAAN SERUMALBUMINE;500 mcg;Kit voor radiofarmaceutisch preparaat;HUMAAN SERUMALBUMINE - 500 mcg - Kit voor radiofarmaceutisch preparaat
Epaclob 2 mg/ml, suspensie voor oraal gebruik;CLOBAZAM;2 mg/ml;Suspensie voor oraal gebruik;CLOBAZAM - 2 mg/ml - Suspensie voor oraal gebruik
Abirateron Synthon 500 mg, filmomhulde tabletten;ABIRATERON;500 mg;Filmomhulde tablet;ABIRATERON - 500 mg - Filmomhulde tablet
Paroxetine Teva 10 mg, filmomhulde tabletten;PAROXETINE;10 mg;Filmomhulde tablet;PAROXETINE - 10 mg - Filmomhulde tablet
Amoxicilline/Clavulaanzuur Sandoz 500 mg/100 mg i.v., poeder voor oplossing voor injectie en infusie;AMOXICILLINE/CLAVULANAAT;500 mg/100 mg;Poeder voor oplossing voor injectie;AMOXICILLINE/CLAVULANAAT - 500 mg/100 mg - Poeder voor oplossing voor injectie
Fluconazol Pharmathen 100 mg, capsules, hard;FLUCONAZOL;100 mg;Capsule;FLUCONAZOL - 100 mg - Capsule
Lidocaïne Aguettant 20 mg/ml oplossing voor injectie in een voorgevulde spuit;LIDOCAINE/LIDOCAÏNE;20 mg/ml;Oplossing voor injectie;LIDOCAINE/LIDOCAÏNE - 20 mg/ml - Oplossing voor injectie
Entrizen 100 mg, filmomhulde tabletten;LOSARTAN;100 mg;Filmomhulde tablet;LOSARTAN - 100 mg - Filmomhulde tablet
Midazolam Eugia 5 mg/ml, oplossing voor injectie/infusie of rectale toediening;MIDAZOLAM;5 mg/ml;Oplossing voor injectie of infusie;MIDAZOLAM - 5 mg/ml - Oplossing voor injectie of infusie
