Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct;Kolom1
Norgestimaat/Ethinylestradiol Xiromed 0,25 mg/0,035 mg tabletten;ETHINYLESTRADIOL/NORGESTIMAAT;0,25 mg/0,035 mg;Tablet;ETHINYLESTRADIOL/NORGESTIMAAT - 0,25 mg/0,035 mg - Tablet;57
Ceftazidim Fresenius Kabi 500 mg, poeder voor oplossing voor injectie;CEFTAZIDIM;500 mg;Poeder voor oplossing voor injectie;CEFTAZIDIM - 500 mg - Poeder voor oplossing voor injectie;57
Methylfenidaat HCl retard Aristo 40 mg, harde capsules met gereguleerde afgifte;METHYLFENIDAAT;40 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 40 mg - Capsule met gereguleerde afgifte;57
Vodask 200 mg poeder voor oplossing voor infusie;VORICONAZOL;200 mg;Poeder voor oplossing voor infusie;VORICONAZOL - 200 mg - Poeder voor oplossing voor infusie;57
Bufoler Easyhaler 320/9 microgram/dosis, inhalatiepoeder;BUDESONIDE/FORMOTEROL;320/9 mcg/dosis;Inhalatiepoeder;BUDESONIDE/FORMOTEROL - 320/9 mcg/dosis - Inhalatiepoeder;57
Hezkue 12,5 mg/dosis, suspensie voor oraal gebruik;SILDENAFIL;12,5 mg/dosis;Suspensie voor oraal gebruik;SILDENAFIL - 12,5 mg/dosis - Suspensie voor oraal gebruik;57
Telmisartan/Hydrochloorthiazide Laboratorios Liconsa  80 mg/ 12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/ 12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/ 12,5 mg - Tablet;57
Desmopressine Teva 120 microgram, tabletten voor sublinguaal gebruik;DESMOPRESSINE;120 mcg;Tablet voor sublinguaal gebruik;DESMOPRESSINE - 120 mcg - Tablet voor sublinguaal gebruik;57
Voramol 200 mg poeder voor oplossing voor infusie;VORICONAZOL;200 mg;Poeder voor oplossing voor infusie;VORICONAZOL - 200 mg - Poeder voor oplossing voor infusie;57
Vancomycine Sandoz 500 mg, poeder voor oplossing voor infusie;VANCOMYCINE;500 mg;Poeder voor oplossing voor infusie;VANCOMYCINE - 500 mg - Poeder voor oplossing voor infusie;57
Atozet 10 mg/10 mg, filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/10 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/10 mg - Filmomhulde tablet;57
BORTEZOMIB MSN 3,5 mg poeder voor oplossing voor injectie;BORTEZOMIB;3,5 mg;Poeder voor oplossing voor injectie;BORTEZOMIB - 3,5 mg - Poeder voor oplossing voor injectie;57
Bortezomib Waverley 3,5 mg poeder voor oplossing voor injectie;BORTEZOMIB;3,5 mg;Poeder voor oplossing voor injectie;BORTEZOMIB - 3,5 mg - Poeder voor oplossing voor injectie;57
Zetovar 10 mg/40 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/40 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/40 mg - Filmomhulde tablet;57
Gemcitabine 200 mg Pharmachemie B.V., poeder voor oplossing voor infusie;GEMCITABINE;200 mg;Poeder voor oplossing voor infusie;GEMCITABINE - 200 mg - Poeder voor oplossing voor infusie;57
Biopoin 20.000 IE/1 ml, oplossing voor injectie in voorgevulde spuit;EPOETINE THETA;20,000 IE/1 ml;Oplossing voor injectie;EPOETINE THETA - 20,000 IE/1 ml - Oplossing voor injectie;57
Signifor 0,9 mg oplossing voor injectie;PASIREOTIDEDIASPARTAAT;0,9 mg;Oplossing voor injectie;PASIREOTIDEDIASPARTAAT - 0,9 mg - Oplossing voor injectie;57
Bortezomib Eugia 3,5 mg, poeder voor oplossing voor injectie;BORTEZOMIB;3,5 mg;Poeder voor oplossing voor injectie;BORTEZOMIB - 3,5 mg - Poeder voor oplossing voor injectie;57
Ezeat 10 mg/80 mg, filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/80 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/80 mg - Filmomhulde tablet;57
Ezeat 10 mg/20 mg, filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/20 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/20 mg - Filmomhulde tablet;57
Ezetator 10 mg/40 mg, filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/40 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/40 mg - Filmomhulde tablet;57
Ezetimibe/Atorvastatine Olainfarm 10 mg/40 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/40 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/40 mg - Filmomhulde tablet;57
Budesonide/Formoterol Teva Pharma B.V. 160 microgram/4,5 microgram inhalatiepoeder;BUDESONIDE/FORMOTEROL;160 mcg/4,5 mcg;Inhalatiepoeder;BUDESONIDE/FORMOTEROL - 160 mcg/4,5 mcg - Inhalatiepoeder;57
Ezetimibe/Atorvastatine Heumann 10 mg/20 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/20 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/20 mg - Filmomhulde tablet;57
Voxzogo 1,4 mg, poeder en oplosmiddel voor oplossing voor injectie;VOSORITIDE;1,4 mg;Poeder voor oplossing voor injectie;VOSORITIDE - 1,4 mg - Poeder voor oplossing voor injectie;57
Ezetimibe/Atorvastatine Mylan 10 mg/10 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/10 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/10 mg - Filmomhulde tablet;57
Desmopressine Hexal 240 microgram, tabletten voor sublinguaal gebruik;DESMOPRESSINE;240 mcg;Tablet voor sublinguaal gebruik;DESMOPRESSINE - 240 mcg - Tablet voor sublinguaal gebruik;57
Ezetimibe/Atorvastatine axunio 10 mg/40 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/40 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/40 mg - Filmomhulde tablet;57
Velcade, poeder voor oplossing voor injectie 3,5 mg;BORTEZOMIB;3,5 mg;Poeder voor oplossing voor injectie;BORTEZOMIB - 3,5 mg - Poeder voor oplossing voor injectie;57
Biopoin 3000 IE/0,5 ml, oplossing voor injectie in voorgevulde spuit;EPOETINE THETA;3000 IE/0,5 ml;Oplossing voor injectie;EPOETINE THETA - 3000 IE/0,5 ml - Oplossing voor injectie;57
BiResp Spiromax 160 microgram/4,5 microgram inhalatiepoeder;BUDESONIDE/FORMOTEROL;160 mcg/4,5 mcg;Inhalatiepoeder;BUDESONIDE/FORMOTEROL - 160 mcg/4,5 mcg - Inhalatiepoeder;57
Rosuvastatine/ezetimibe Bausch Health Ireland Limited 40 mg/10 mg filmomhulde tabletten;EZETIMIB/ROSUVASTATINE;40 mg/10 mg;Filmomhulde tablet;EZETIMIB/ROSUVASTATINE - 40 mg/10 mg - Filmomhulde tablet;57
Fraxiparine 3.800 IE/ 0,4 ml oplossing voor injectie;NADROPARINE;3.800 IE/ 0,4 ml;Oplossing voor injectie;NADROPARINE - 3.800 IE/ 0,4 ml - Oplossing voor injectie;56
Dantrium IV, poeder voor injectievloeistof 20 mg;DANTROLEEN;20 mg;Poeder voor oplossing voor injectie;DANTROLEEN - 20 mg - Poeder voor oplossing voor injectie;56
Irbesartan/hydrochloorthiazide Xiromed 300 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;56
Telmisartan/Hydrochloorthiazide Glenmark 40 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;40 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 40 mg/12,5 mg - Tablet;56
Midazolam Accord 1 mg/ml oplossing voor injectie/infusie in voorgevulde spuit;MIDAZOLAM;1 mg/ml;Oplossing voor injectie of infusie;MIDAZOLAM - 1 mg/ml - Oplossing voor injectie of infusie;56
Midazolam Eugia 1 mg/ml, oplossing voor injectie/infusie of rectale toediening;MIDAZOLAM;1 mg/ml;Oplossing voor injectie of infusie;MIDAZOLAM - 1 mg/ml - Oplossing voor injectie of infusie;56
Zalmeber 80 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;56
Dantrium I.V., poeder voor injectievloeistof 20 mg;DANTROLEEN;20 mg;Poeder voor oplossing voor injectie;DANTROLEEN - 20 mg - Poeder voor oplossing voor injectie;56
Amoxicilline Centrient 250 mg/5 ml, poeder voor orale suspensie;AMOXICILLINE;250 mg/5 ml;Poeder voor orale suspensie;AMOXICILLINE - 250 mg/5 ml - Poeder voor orale suspensie;56
Amlodipine/Valsartan Teva 10 mg/160 mg, filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;56
Coversyl Plus arg 10mg/2,5mg filmomhulde tabletten;INDAPAMIDE/PERINDOPRIL;10mg/2,5mg;Filmomhulde tablet;INDAPAMIDE/PERINDOPRIL - 10mg/2,5mg - Filmomhulde tablet;56
Depo-Provera 150, suspensie voor injectie 150 mg/ml;MEDROXYPROGESTERON;150 mg/ml;Suspensie voor injectie;MEDROXYPROGESTERON - 150 mg/ml - Suspensie voor injectie;56
Prostigmin 0,5 mg/ml, oplossing voor injectie;NEOSTIGMINE METHYL;0,5 mg/ml;Oplossing voor injectie;NEOSTIGMINE METHYL - 0,5 mg/ml - Oplossing voor injectie;56
Actonel 75 mg, filmomhulde tabletten;RISEDRONAAT/RISEDRONINEZUUR;75 mg;Filmomhulde tablet;RISEDRONAAT/RISEDRONINEZUUR - 75 mg - Filmomhulde tablet;56
Abacavir/Lamivudine Mylan Pharma 600 mg/300 mg, filmomhulde tabletten;ABACAVIR/LAMIVUDINE;600 mg/300 mg;Filmomhulde tablet;ABACAVIR/LAMIVUDINE - 600 mg/300 mg - Filmomhulde tablet;56
Irbesartan/Hydrochloorthiazide Viatris 150 mg/12,5 mg, tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;150 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 150 mg/12,5 mg - Tablet;56
Salmeterol/Fluticasonpropionaat Neutec 50 microgram/100 microgram inhalatiepoeder, voorverdeeld;FLUTICASON/SALMETEROL;50 mcg/100 mcg;Inhalatiepoeder;FLUTICASON/SALMETEROL - 50 mcg/100 mcg - Inhalatiepoeder;56
Naloxon HCL-hameln 0,4 mg/ml, oplossing voor injectie/infusie;NALOXON;0,4 mg/ml;Oplossing voor injectie of infusie;NALOXON - 0,4 mg/ml - Oplossing voor injectie of infusie;56
Risedronaatnatrium Aurobindo 75 mg, filmomhulde tabletten;RISEDRONAAT/RISEDRONINEZUUR;75 mg;Filmomhulde tablet;RISEDRONAAT/RISEDRONINEZUUR - 75 mg - Filmomhulde tablet;56
Eprex 4000 IE/0,4 ml, oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;4000 IE/0,4 ml;Oplossing voor injectie;EPOËTINE ALFA - 4000 IE/0,4 ml - Oplossing voor injectie;56
Diozart 10 mg/160 mg filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;56
Suvexx 85 mg/500 mg filmomhulde tabletten;NAPROXEN/SUMATRIPTAN;85 mg/500 mg;Filmomhulde tablet;NAPROXEN/SUMATRIPTAN - 85 mg/500 mg - Filmomhulde tablet;56
Midazolam Kalceks 1 mg/ml oplossing voor injectie/infusie;MIDAZOLAM;1 mg/ml;Oplossing voor injectie of infusie;MIDAZOLAM - 1 mg/ml - Oplossing voor injectie of infusie;56
Tigecycline Hikma 50 mg poeder voor oplossing voor infusie;TIGECYCLINE;50 mg;Poeder voor oplossing voor infusie;TIGECYCLINE - 50 mg - Poeder voor oplossing voor infusie;56
Kinzalkomb 80 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;56
GranuPas 4 g, maagsapresistent granulaat;PARA-AMINOSALICYLZUUR;4 g;Maagsapresistent granulaat;PARA-AMINOSALICYLZUUR - 4 g - Maagsapresistent granulaat;56
Sitagliptine/Metformine HCl Sandoz 50/850 mg, filmomhulde tabletten;METFORMINE/SITAGLIPTINE;50/850 mg;Filmomhulde tablet;METFORMINE/SITAGLIPTINE - 50/850 mg - Filmomhulde tablet;56
Imprida 10 mg/160 mg filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;56
Abseamed 8000 IE/0,8 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;8000 IE/0,8 ml;Oplossing voor injectie;EPOËTINE ALFA - 8000 IE/0,8 ml - Oplossing voor injectie;56
Pegasys 90 microgram oplossing voor injectie in een voorgevulde spuit;PEGINTERFERON ALFA-2A;90 mcg;Oplossing voor injectie;PEGINTERFERON ALFA-2A - 90 mcg - Oplossing voor injectie;56
Epclusa 200 mg/50 mg, omhuld granulaat in sachet;SOFOSBUVIR/VELPATASVIR;200 mg/50 mg;Omhuld granulaat;SOFOSBUVIR/VELPATASVIR - 200 mg/50 mg - Omhuld granulaat;56
Retacrit 10.000 IE/1 ml oplossing voor injectie in voorgevulde spuit;EPOËTINE ZETA;10,000 IE/1 ml;Oplossing voor injectie;EPOËTINE ZETA - 10,000 IE/1 ml - Oplossing voor injectie;56
Remicade 100 mg, poeder voor oplossing voor infusie;INFLIXIMAB;100 mg;Poeder voor oplossing voor infusie;INFLIXIMAB - 100 mg - Poeder voor oplossing voor infusie;56
PritorPlus 80 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;56
Amyvid 800 MBq/ml, oplossing voor injectie;FLORBETAPIR (F18);800 MBq/ml;Oplossing voor injectie;FLORBETAPIR (F18) - 800 MBq/ml - Oplossing voor injectie;56
Velmetia 50/850 mg;METFORMINE/SITAGLIPTINE;50/850 mg;Filmomhulde tablet;METFORMINE/SITAGLIPTINE - 50/850 mg - Filmomhulde tablet;56
Fraxiparine Forte 11.400 IE/0,6 ml, oplossing voor injectie;NADROPARINE;11,400 IE/0,6 ml;Oplossing voor injectie;NADROPARINE - 11,400 IE/0,6 ml - Oplossing voor injectie;56
Femoston continu 1 mg/5 mg, filmomhulde tabletten;DYDROGESTERON/ESTRADIOL;1 mg/5 mg;Filmomhulde tablet;DYDROGESTERON/ESTRADIOL - 1 mg/5 mg - Filmomhulde tablet;56
Fragmin 15.000 IE/0,6 ml, oplossing voor injectie;DALTEPARINE;15,000 IE/0,6 ml;Oplossing voor injectie;DALTEPARINE - 15,000 IE/0,6 ml - Oplossing voor injectie;56
Fragmin 12.500 IE/0,5 ml, oplossing voor injectie;DALTEPARINE;12,500 IE/0,5 ml;Oplossing voor injectie;DALTEPARINE - 12,500 IE/0,5 ml - Oplossing voor injectie;56
Fragmin 10.000 IE/0,4 ml, oplossing voor injectie;DALTEPARINE;10,000 IE/0,4 ml;Oplossing voor injectie;DALTEPARINE - 10,000 IE/0,4 ml - Oplossing voor injectie;56
Promocard 30 Durettes, tabletten met gereguleerde afgifte 30 mg;ISOSORBIDEMONO;30 Du;Tablet met gereguleerde afgifte;ISOSORBIDEMONO - 30 Du - Tablet met gereguleerde afgifte;56
Lidocaïne Aguettant 20 mg/ml oplossing voor injectie in een voorgevulde spuit;LIDOCAINE/LIDOCAÏNE;20 mg/ml;Oplossing voor injectie;LIDOCAINE/LIDOCAÏNE - 20 mg/ml - Oplossing voor injectie;56
Midazolam Eugia 5 mg/ml, oplossing voor injectie/infusie of rectale toediening;MIDAZOLAM;5 mg/ml;Oplossing voor injectie of infusie;MIDAZOLAM - 5 mg/ml - Oplossing voor injectie of infusie;56
Amlodipine/Valsartan Sandoz 10 mg/160 mg, filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;56
Abacavir/Lamivudine Sandoz 600 mg/300 mg, filmomhulde tabletten;ABACAVIR/LAMIVUDINE;600 mg/300 mg;Filmomhulde tablet;ABACAVIR/LAMIVUDINE - 600 mg/300 mg - Filmomhulde tablet;56
Risedronaatnatrium 75 mg Accord, filmomhulde tabletten;RISEDRONAAT/RISEDRONINEZUUR;75 mg;Filmomhulde tablet;RISEDRONAAT/RISEDRONINEZUUR - 75 mg - Filmomhulde tablet;56
Zithromax, suspensie (poeder voor) 200 mg/5 ml;AZITROMYCINE;200 mg/5 ml;Poeder voor orale suspensie;AZITROMYCINE - 200 mg/5 ml - Poeder voor orale suspensie;56
Desmopressine Sandoz 60 microgram, tabletten voor sublinguaal gebruik;DESMOPRESSINE;60 mcg;Tablet voor sublinguaal gebruik;DESMOPRESSINE - 60 mcg - Tablet voor sublinguaal gebruik;56
Amoxicilline Teva 250 mg/5 ml poeder voor orale suspensie;AMOXICILLINE;250 mg/5 ml;Poeder voor orale suspensie;AMOXICILLINE - 250 mg/5 ml - Poeder voor orale suspensie;56
Carbamazepine Sandoz retard tablet 400, tabletten met gereguleerde afgifte 400 mg;CARBAMAZEPINE;400 mg;Tablet met gereguleerde afgifte;CARBAMAZEPINE - 400 mg - Tablet met gereguleerde afgifte;56
Amoxicilline Sandoz Forte 250 mg/5 ml, poeder voor orale suspensie;AMOXICILLINE;250 mg/5 ml;Poeder voor orale suspensie;AMOXICILLINE - 250 mg/5 ml - Poeder voor orale suspensie;56
Desmopressine Melt Ferring 120 microgram, lyophilisaat voor oraal gebruik;DESMOPRESSINE;120 mcg;Lyofilisaat voor oraal gebruik;DESMOPRESSINE - 120 mcg - Lyofilisaat voor oraal gebruik;56
Apomorfine hydrochloride PharmSwed 5 mg/ml, oplossing voor infusie;APOMORFINEHEMIHYDRAAT;5 mg/ml;Oplossing voor infusie;APOMORFINEHEMIHYDRAAT - 5 mg/ml - Oplossing voor infusie;56
Telmisartan/Hydrochloorthiazide 80 mg/12,5 mg Focus, tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;56
Azitromycine Mylan 100 mg/5 ml, poeder voor orale suspensie;AZITROMYCINE;100 mg/5 ml;Poeder voor orale suspensie;AZITROMYCINE - 100 mg/5 ml - Poeder voor orale suspensie;56
Azitromycine Sandoz 200 mg/5 ml, poeder voor orale suspensie;AZITROMYCINE;200 mg/5 ml;Poeder voor orale suspensie;AZITROMYCINE - 200 mg/5 ml - Poeder voor orale suspensie;56
Amoxicilline Centrient 125 mg/5 ml, poeder voor orale suspensie;AMOXICILLINE;125 mg/5 ml;Poeder voor orale suspensie;AMOXICILLINE - 125 mg/5 ml - Poeder voor orale suspensie;56
Promocard 60 Durettes, tabletten met gereguleerde afgifte 60 mg;ISOSORBIDEMONO;60 Du;Tablet met gereguleerde afgifte;ISOSORBIDEMONO - 60 Du - Tablet met gereguleerde afgifte;56
Telmisartan/Hydrochlorothiazide Glenmark 80 mg/12,5 mg, tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;56
Carbamazepine Sandoz retard tablet 200, tabletten met gereguleerde afgifte 200 mg;CARBAMAZEPINE;200 mg;Tablet met gereguleerde afgifte;CARBAMAZEPINE - 200 mg - Tablet met gereguleerde afgifte;56
Telmisartan/Hydrochloorthiazide Xiromed 40 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;40 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 40 mg/12,5 mg - Tablet;56
Folikabi 10 mg/ml oplossing voor injectie/infusie;FOLINAAT;10 mg/ml;Oplossing voor injectie of infusie;FOLINAAT - 10 mg/ml - Oplossing voor injectie of infusie;56
Rozesta 5 mg/10 mg filmomhulde tabletten;EZETIMIB/ROSUVASTATINE;5 mg/10 mg;Filmomhulde tablet;EZETIMIB/ROSUVASTATINE - 5 mg/10 mg - Filmomhulde tablet;56
Karvezide 300 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;56
Ryzneuta 20 mg oplossing voor injectie;EFBEMALENOGRASTIM ALFA;20 mg;Oplossing voor injectie;EFBEMALENOGRASTIM ALFA - 20 mg - Oplossing voor injectie;56
Candesartan cilexetil/Hydrochloorthiazide Torrent 16 mg/12,5 mg tabletten;CANDESARTAN/HYDROCHLOORTHIAZIDE;16 mg/12,5 mg;Tablet;CANDESARTAN/HYDROCHLOORTHIAZIDE - 16 mg/12,5 mg - Tablet;56
Irbesartan Hydrochlorothiazide Zentiva 300 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;56
Abseamed 9000 IE/0,9 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;9000 IE/0,9 ml;Oplossing voor injectie;EPOËTINE ALFA - 9000 IE/0,9 ml - Oplossing voor injectie;56
Copalia 10 mg/160 mg, filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;56
Neuraceq 300 MBq/mL, oplossing voor injectie;FLORBETABEN (18F);300 MBq/mL;Oplossing voor injectie;FLORBETABEN (18F) - 300 MBq/mL - Oplossing voor injectie;56
Abseamed 3000 IE/0,3 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;3000 IE/0,3 ml;Oplossing voor injectie;EPOËTINE ALFA - 3000 IE/0,3 ml - Oplossing voor injectie;56
Actelsar HCT 80 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;56
Desmopressine Hexal 60 microgram, tabletten voor sublinguaal gebruik;DESMOPRESSINE;60 mcg;Tablet voor sublinguaal gebruik;DESMOPRESSINE - 60 mcg - Tablet voor sublinguaal gebruik;56
Abseamed 4000 IE/0,4 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;4000 IE/0,4 ml;Oplossing voor injectie;EPOËTINE ALFA - 4000 IE/0,4 ml - Oplossing voor injectie;56
Abseamed 5000 IE/0,5 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;5000 IE/0,5 ml;Oplossing voor injectie;EPOËTINE ALFA - 5000 IE/0,5 ml - Oplossing voor injectie;56
Dipperam 10 mg/160 mg, filmomhulde tabletten;AMLODIPINE/VALSARTAN;10 mg/160 mg;Filmomhulde tablet;AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;56
Medikinet CR 5 mg, capsule met gereguleerde afgifte, hard;METHYLFENIDAAT;5 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 5 mg - Capsule met gereguleerde afgifte;56
Medikinet CR 5 mg, capsules met gereguleerde afgifte, hard;METHYLFENIDAAT;5 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 5 mg - Capsule met gereguleerde afgifte;56
Fraxiparine 5.700 IE/ 0,6 ml oplossing voor injectie;NADROPARINE;5.700 IE/ 0,6 ml;Oplossing voor injectie;NADROPARINE - 5.700 IE/ 0,6 ml - Oplossing voor injectie;56
Gamunex 10%, 100 mg/ml oplossing voor infusie;IMMUNOGLOBULINE G, HUMAAN;10%;Oplossing voor infusie;IMMUNOGLOBULINE G, HUMAAN - 10% - Oplossing voor infusie;56
Isosorbide Mononitraat Retard RPH 30 mg, tabletten met gereguleerde afgifte;ISOSORBIDEMONO;30 mg;Tablet met gereguleerde afgifte;ISOSORBIDEMONO - 30 mg - Tablet met gereguleerde afgifte;56
Nystatine RPH 100.000 IE/ml, suspensie voor oraal gebruik;NYSTATINE;100,000 IE/ml;Suspensie voor oraal gebruik;NYSTATINE - 100,000 IE/ml - Suspensie voor oraal gebruik;56
Azitromycine 200 mg/5 ml Teva, poeder voor orale suspensie;AZITROMYCINE;200 mg/5 ml;Poeder voor orale suspensie;AZITROMYCINE - 200 mg/5 ml - Poeder voor orale suspensie;56
APO-go Pod 5 mg/ml oplossing voor infusie in een patroon;APOMORFINEHEMIHYDRAAT;5 mg/ml;Oplossing voor infusie;APOMORFINEHEMIHYDRAAT - 5 mg/ml - Oplossing voor infusie;56
APO-go 5 mg/ml, oplossing voor infusie in een voorgevulde spuit;APOMORFINEHEMIHYDRAAT;5 mg/ml;Oplossing voor infusie;APOMORFINEHEMIHYDRAAT - 5 mg/ml - Oplossing voor infusie;56
Midazolam Accord 1 mg/ml, oplossing voor injectie of infusie;MIDAZOLAM;1 mg/ml;Oplossing voor injectie of infusie;MIDAZOLAM - 1 mg/ml - Oplossing voor injectie of infusie;56
Arteoptic zonder conserveermiddel 20 mg/ml, oogdruppels, oplossing met verlengde afgifte;CARTEOLOL;20 mg/ml;Oogdruppels met verlengde afgifte;CARTEOLOL - 20 mg/ml - Oogdruppels met verlengde afgifte;56
Serair 50 microgram/250 microgram inhalatiepoeder, voorverdeeld;FLUTICASON/SALMETEROL;50 mcg/250 mcg;Inhalatiepoeder;FLUTICASON/SALMETEROL - 50 mcg/250 mcg - Inhalatiepoeder;56
Licarbetida 300 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;56
Ceftriaxon 1,0 g Eberth, poeder voor oplossing voor injectie;CEFTRIAXON;1,0 g;Poeder voor oplossing voor injectie;CEFTRIAXON - 1,0 g - Poeder voor oplossing voor injectie;56
Telmisartan/Hydrochloorthiazide Accord 40 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;40 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 40 mg/12,5 mg - Tablet;56
Ipratropiumbromide 40 Cyclocaps, inhalatiepoeder in harde capsules 0,04 mg;IPRATROPIUM;0,04 mg;Inhalatiepoeder in harde capsule;IPRATROPIUM - 0,04 mg - Inhalatiepoeder in harde capsule;56
Lartokaz 150 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;150 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 150 mg/12,5 mg - Tablet;56
Pulmocis 2 mg kit voor radiofarmaceutisch preparaat;MACROSALB;2 mg;Kit voor radiofarmaceutisch preparaat;MACROSALB - 2 mg - Kit voor radiofarmaceutisch preparaat;56
