PRESCRIBING_PRODUCT;AFLEVERSTATUS
OCTREOTIDE - 0,05 mg/ml - Oplossing voor injectie;Uitsluitend recept
ATRACURIUM - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
AZITROMYCINE - 15 mg/g - Oogdruppels;Uitsluitend recept
CABAZITAXEL - 20 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
GRANISETRON - 2 mg - Filmomhulde tablet;Uitsluitend recept
VANCOMYCINE - 500 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
CANDESARTAN/HYDROCHLOORTHIAZIDE - 16/12,5 mg - Tablet;Uitsluitend recept
CHOLECALCIFEROL - 10.000 IE/ml - Druppels voor oraal gebruik;Uitsluitend recept
NORTRIPTYLINE - 25 mg - Tablet;Uitsluitend recept
APREMILAST - 30 mg - Filmomhulde tablet;Uitsluitend recept
LENALIDOMIDE - 5 mg - Capsule;Uitsluitend recept
UROKINASE - 500.000 IE - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
SOTALOL - 40 mg - Tablet;Uitsluitend recept
MELFALAN/POVIDON K 12 (E 1201) - 50 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
PAMIDRONINEZUUR - 9 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
LEVETIRACETAM - 250 mg - Filmomhulde tablet;Uitsluitend recept
LOSARTAN - 50 mg - Filmomhulde tablet;Uitsluitend recept
TOLTERODINE - 1 mg - Filmomhulde tablet;Uitsluitend recept
ARIPIPRAZOL - 10 mg - Tablet;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 500/125 mg - Filmomhulde tablet;Uitsluitend recept
MEROPENEM - 1000 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
POSACONAZOL - 40 mg/ml - Suspensie voor oraal gebruik;Uitsluitend recept
PARACETAMOL/TRAMADOL - 37,5/325 mg - Filmomhulde tablet;Uitsluitend recept
ENALAPRIL/HYDROCHLOORTHIAZIDE - 20 mg/6 mg - Tablet;Uitsluitend recept
MIDAZOLAM - 5mg/ml - Drank;Uitsluitend recept
DILTIAZEM - 200 mg - Capsule met verlengde afgifte;Uitsluitend recept
ESCITALOPRAM - 5 mg - Filmomhulde tablet;Uitsluitend recept
LORAZEPAM - 1 mg - Tablet;Uitsluitend recept
GENTAMICINE - 80 mg/ml - Oplossing voor injectie;Uitsluitend recept
TOPIRAMAAT - 200 mg - Filmomhulde tablet;Uitsluitend recept
ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/OLIJFOLIE, GEZUIVERD/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) -  - Emulsie voor infusie;Uitsluitend recept
LEVETIRACETAM - 1000 mg - Filmomhulde tablet;Uitsluitend recept
MESALAZINE - 250 mg - Maagsapresistente tablet;Uitsluitend recept
OXYCODON - 5 mg - Tablet met verlengde afgifte;Uitsluitend recept
(E 170)/RISEDRONAAT/RISEDRONINEZUUR -  - Filmomhulde tablet;Uitsluitend recept
CALCITRIOL - 3 microgram/g - Zalf;Uitsluitend recept
ETORICOXIB - 30 mg - Filmomhulde tablet;Uitsluitend recept
VERAPAMIL - 120 mg - Filmomhulde tablet;Uitsluitend recept
ABIRATERON - 250 mg - Tablet;Uitsluitend recept
METFORMINE - 500 mg - Filmomhulde tablet;Uitsluitend recept
SITAGLIPTINE - 25 mg - Filmomhulde tablet;Uitsluitend recept
VINORELBINE - 30mg - Capsule;Uitsluitend recept
VALPROAAT - 150 mg - Maagsapresistente tablet;Uitsluitend recept
ZUURSTOF, MEDICINAAL (E 948) - 100% - Medicinaal gas;Uitsluitend recept
GABAPENTINE - 800 mg - Filmomhulde tablet;Uitsluitend recept
HYDROCORTISON/MICONAZOL - 20/10 mg/g - Crème;Uitsluitend recept
TRIHEXYFENIDYL - 2 mg - Tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 40 mg/12,5 mg - Filmomhulde tablet;Uitsluitend recept
MOMETASONFUROAAT - 50 microgram - Neusspray;Uitsluitend recept
MORFINE - 20 mg - Tablet;Uitsluitend recept
MEMANTINE - 10 mg/ml - Drank;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 7000 IE - Filmomhulde tablet;Uitsluitend recept
TACROLIMUS - 2 mg - Capsule;Uitsluitend recept
URSODEOXYCHOLZUUR - 400 mg - Tablet;Uitsluitend recept
BARNIDIPINE - 10 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
HYDROXOCOBALAMINE - 1000 microgram - Oplossing voor injectie;Uitsluitend recept
IRBESARTAN - 75 mg - Tablet;Uitsluitend recept
BUDESONIDE - 200 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
MESALAZINE - 2 g/60 g - Oplossing voor rectaal gebruik;Uitsluitend recept
DICLOFENAC - 50 mg - Maagsapresistente tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/RAMIPRIL - 5mg/25 mg - Tablet;Uitsluitend recept
AMLODIPINE/VALSARTAN - 5 mg/80 mg - Filmomhulde tablet;Uitsluitend recept
MORFINE - 10 mg/ml - Oplossing voor infusie;Uitsluitend recept
"ALLERGENEN VAN HUISSTOFMIJTENEXTRACT ""HAL"" - 10.000 AU/ml - Oplossing voor huidpriktest";Uitsluitend recept
OFLOXACINE - 3mg/ml - Oogdruppels;Uitsluitend recept
DROSPIRENON/ETHINYLESTRADIOL - 3 mg/0,02 mg - Filmomhulde tablet;Uitsluitend recept
INDAPAMIDE/PERINDOPRIL - 10mg/2,5mg - Filmomhulde tablet;Uitsluitend recept
ESCITALOPRAM - 20mg/ml - Druppels voor oraal gebruik;Uitsluitend recept
CELECOXIB - 100 mg - Capsule;Uitsluitend recept
GENTAMICINE - 20 mg/ml - Oplossing voor injectie;Uitsluitend recept
CINACALCET - 30 mg - Filmomhulde tablet;Uitsluitend recept
MESALAZINE - 1600 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
IBUPROFEN - 400 mg - Filmomhulde tablet;Uitsluitend recept
ROPINIROL - 2 mg - Tablet met verlengde afgifte;Uitsluitend recept
ETHINYLESTRADIOL/LEVONORGESTREL - 100/20 microgram - Filmomhulde tablet;Uitsluitend recept
ZONISAMIDE - 100 mg - Capsule;Uitsluitend recept
SIMVASTATINE - 40 mg - Filmomhulde tablet;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 875 mg/125 mg - Filmomhulde tablet;Uitsluitend recept
ENALAPRIL/HYDROCHLOORTHIAZIDE - 20/12,5 mg - Tablet;Uitsluitend recept
ERLOTINIB - 25 mg - Filmomhulde tablet;Uitsluitend recept
FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN - 500 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
MIDAZOLAM - 2 mg/ml - Drank;Uitsluitend recept
FLUCONAZOL - 2 mg/ml - Oplossing voor infusie;Uitsluitend recept
PROPOFOL - 10 mg/ml - Emulsie voor infusie;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/(E 509)/(CL-)/CYSTEÏNE (L-)/FENYLALANINE, (L-)/(3-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCERO-1(2)FOSTFAAT (4-6)-WATER/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/(K+)/(E 261)/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)//(D,L)(2-)/METHIONINE, (L-)/(NA+)/OLIJFOLIE, GEZUIVERD/ORNITHINE (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 16% - Emulsie voor infusie;Uitsluitend recept
ABIRATERON - 250 mg - Filmomhulde tablet;Uitsluitend recept
METHADON - 10 mg/ml - Drank;Uitsluitend recept
EFAVIRENZ/EMTRICITABINE/TENOFOVIRDISOPROXIL - 600 mg/200 mg/245 mg - Filmomhulde tablet;Uitsluitend recept
DABIGATRAN - 150 mg - Capsule;Uitsluitend recept
RIVAROXABAN - 10 mg - Filmomhulde tablet;Uitsluitend recept
BIVALIRUDINE - 250 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ISOTRETINOINE - 5 mg - Capsule;Uitsluitend recept
HUMAAN ALBUMINE - 40 g/l - Oplossing voor infusie;Uitsluitend recept
CARVEDILOL - 6,25 mg - Tablet;Uitsluitend recept
ETHINYLESTRADIOL/LEVONORGESTREL - 150/30 microgram - Filmomhulde tablet;Uitsluitend recept
CITALOPRAM - 20 mg - Filmomhulde tablet;Uitsluitend recept
MIRTAZAPINE - 30 mg - Filmomhulde tablet;Uitsluitend recept
(Ca2+)/(E 509)/(CL-)/GLUCOSE/(MG2+) /(E 511)/(NA+)//(E 500 (II))/(HCO3-) - 4,25 % - Oplossing voor peritoneale dialyse;Uitsluitend recept
ITRACONAZOL - 100 mg - Capsule;Uitsluitend recept
TADALAFIL - 2,5 mg - Filmomhulde tablet;Uitsluitend recept
ARSEENTRIOXIDE - 1 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
NORTRIPTYLINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
(C2H3O2)-/(CL-)/GLUCOSE/(K+)/(E 508)/(MG2+) /(E 511)/(NA+) /(E 262)/ -  - Oplossing voor infusie;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/GLUTAMAAT, L-/ASPARAGINEZUUR, L/(Ca2+)/(E 509)/(CL-)/DIHYDROGENOPHOSPHAS (LN)/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE -/ISOLEUCINE, (L-)/(K+)/(E 340)/LEUCINE, (L-) (E 641)/LYSINE, L-/(MG2+)//METHIONINE, (L-)/(NA+) /(E 262)/PROLINE, (L-)/SERINE, (L-)/THREONINE, (L-)/TRYPTOFAAN, (L-)/VALINE, (L-) -  - Oplossing voor infusie;Uitsluitend recept
FERRIHYDROXIDE SUCROSE COMPLEX - 20 mg/ml - Oplossing voor injectie;Uitsluitend recept
SUGAMMADEX - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
LIDOCAÏNE/PRILOCAÏNE - 25 mg/g - Crème;Uitsluitend recept
PEMETREXED - 25 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
FLUTICASON/SALMETEROL - 25 microgram/250 microgram/dosis - Aërosol;Uitsluitend recept
GLYCOPYRRONIUM - 8 mg/g - Crème;Uitsluitend recept
AXITINIB - 7 mg - Filmomhulde tablet;Uitsluitend recept
REMIFENTANIL - 2 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
UROFOLLITROPINE - 300 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
LEFLUNOMIDE - 20 mg - Tablet;Uitsluitend recept
AMSACRINE - 75 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
FENTANYL - 75 µg/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
TERIFLUNOMIDE - 7 mg - Filmomhulde tablet;Uitsluitend recept
DOXAZOSINE - 8 mg - Tablet met verlengde afgifte;Uitsluitend recept
HYDROMORFON - 50 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
CHOLECALCIFEROL - 3.200 IE - Capsule;Uitsluitend recept
MEDROXYPROGESTERON - 150 mg/ml - Suspensie voor injectie;Uitsluitend recept
STREPTOZOCINE - 1 g - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
PENTAMIDINE DI-ISETIONAAT - 300 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
LISINOPRIL - 10 mg - Tablet;Uitsluitend recept
METHOTREXAAT - 30 mg - Oplossing voor injectie;Uitsluitend recept
ANTILICHAMEN TEGEN HEPATITUS B VIRUS OPPERVLAKTEANTIGEEN/HUMAAN HEPATITIS B IMMUNOGLOBULINE - 50 IE/ml - Oplossing voor infusie;Uitsluitend recept
NAPROXEN - 500 mg - Maagsapresistente tablet;Uitsluitend recept
CLOTRIMAZOL - 20 mg/g - Crème voor vaginaal gebruik;Uitsluitend recept
VANCOMYCINE - 1000 mg - Poeder voor oplossing voor infusie;Uitsluitend recept
METHOTREXAAT - 17,5 mg - Oplossing voor injectie;Uitsluitend recept
OCTOCOG ALFA - 500 IE/5 ml - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
MEDROXYPROGESTERON - 250 mg - Tablet;Uitsluitend recept
CLOFARABINE - 1 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
VIGABATRINE - 500 mg - Granulaat voor drank;Uitsluitend recept
INDIUM IN 111 PENTETAAT - 37 MBq/ml - Oplossing voor injectie;Uitsluitend recept
FENOXYMETHYLPENICILLINE - 250 mg - Capsule;Uitsluitend recept
FENTANYL - 800 microgram - Zuigtablet;Uitsluitend recept
PREDNISOLON - 30 mg - Tablet;Uitsluitend recept
CEFUROXIM - 50 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
BETAHISTINE - 24 mg - Tablet;Uitsluitend recept
BUDESONIDE - 100 microgram/dosis - Neusspray;Uitsluitend recept
LORAZEPAM - 4 mg/ml - Oplossing voor injectie;Uitsluitend recept
NEOSTIGMINE METHYL - 0,5 mg/ml - Oplossing voor injectie;Uitsluitend recept
SOMATROPINE (rDNA) - 15 mg/1,5ml - Oplossing voor injectie;Uitsluitend recept
OLANZAPINE - 10 mg - Tablet;Uitsluitend recept
ATORVASTATINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
ALLOPURINOL - 1 g/100 ml - Poeder voor oplossing voor infusie;Uitsluitend recept
FLUDROCORTISON - 62,5 microgram - Tablet;Uitsluitend recept
LEVOTHYROXINE - 175 microgram - Tablet;Uitsluitend recept
FENETICILLINE - 250 mg - Capsule;Uitsluitend recept
RILUZOL - 50 mg - Filmomhulde tablet;Uitsluitend recept
PAZOPANIB - 400 mg - Filmomhulde tablet;Uitsluitend recept
GADOLINIUM (Gd 3+)/GADOTEERZUUR - 0,5 mmol/ml - Oplossing voor injectie;Uitsluitend recept
CHLOORAMBUCIL - 2 mg - Filmomhulde tablet;Uitsluitend recept
DARUNAVIR - 600 mg - Filmomhulde tablet;Uitsluitend recept
OLANZAPINE - 5 mg - Filmomhulde tablet;Uitsluitend recept
DOCETAXEL - 20 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
URSODEOXYCHOLZUUR - 250 mg - Capsule;Uitsluitend recept
MESALAZINE - 750 mg - Maagsapresistente tablet;Uitsluitend recept
BECLOMETASON - 314 microgram - Inhalatiepoeder in harde capsule;Uitsluitend recept
CEFUROXIMAXETIL - 500 mg - Filmomhulde tablet;Uitsluitend recept
JODIDE (I-131) - 5550 MBq - Capsule;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 875 mg - Filmomhulde tablet;Uitsluitend recept
(Ca2+)/(E 509)/(CL-)/GLUCOSE/LACTAAT (R,S) (-)/(MG2+) /(E 511)/(NA+)//LACTAAT (R,S) (E 325)/(E 500 (II))/(HCO3-) - 35 G - Oplossing voor peritoneale dialyse;Uitsluitend recept
CANDESARTAN/HYDROCHLOORTHIAZIDE - 8 mg/12,5 mg - Tablet;Uitsluitend recept
FLUVASTATINE - 80 mg - Tablet met verlengde afgifte;Uitsluitend recept
DIAZEPAM - 2 mg - Tablet;Uitsluitend recept
LEVOTHYROXINE - 88 microgram - Capsule;Uitsluitend recept
ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/STIKSTOF (HEAD SPACE) (E 941)/THREONINE, (L-)/TRIGLYCERIDEN MET OMEGA-3-VETZUREN/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-) - 56 g/l - Emulsie voor infusie;Uitsluitend recept
VARENICLINE - 1 mg - Filmomhulde tablet;Uitsluitend recept
TETRADECYL - 1% - Oplossing voor injectie;Uitsluitend recept
DAPAGLIFLOZINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 100 eenheden - Poeder voor oplossing voor injectie;Uitsluitend recept
RAMIPRIL - 5 mg - Tablet;Uitsluitend recept
(Ca2+)/(E 509)/(CL-) - 100 mmol/l - Oplossing voor infusie;Uitsluitend recept
ATENOLOL - 25 mg - Filmomhulde tablet;Uitsluitend recept
DEXAMETHASON/TOBRAMYCINE - 3 mg/ml - Oogdruppels;Uitsluitend recept
SOMATROPINE - 12 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
CARBOMEER 974P - 2,5 mg/g - Ooggel;Uitsluitend recept
FAMPRIDINE - 10 mg - Tablet met verlengde afgifte;Uitsluitend recept
MICAFUNGINE - 50 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ATORVASTATINE - 20 mg - Filmomhulde tablet;Uitsluitend recept
VALPROAAT - 400 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
TAMSULOSINE - 0.4 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
GLUCOSAMINE - 1178 mg - Poeder voor drank;Uitsluitend recept
TETRACAINE - 5 mg/ml - Oogdruppels;Uitsluitend recept
BARIUM - 984,5 mg/g - Poeder voor orale suspensie;Uitsluitend recept
NALOXON - 0,4 mg/ml - Oplossing voor injectie;Uitsluitend recept
NORTRIPTYLINE - 50 mg - Tablet;Uitsluitend recept
CEFTRIAXON - 2 g - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
GALANTAMINE - 24 mg - Capsule met verlengde afgifte;Uitsluitend recept
ESCITALOPRAM - 20 mg - Filmomhulde tablet;Uitsluitend recept
FAMOTIDINE - 40 mg - Tablet;Uitsluitend recept
NITROGLYCERINE - 1 mg/ml - Oplossing voor infusie;Uitsluitend recept
IBANDRONAAT - 150 mg - Filmomhulde tablet;Uitsluitend recept
GONADORELINE - 0,1 mg/ml - Oplossing voor injectie;Uitsluitend recept
WATERIG EXTRACT VAN TIMOTHEEGRASPOLLEN - 10.000 SQ-E/ml - Suspensie voor injectie;Uitsluitend recept
DESOGESTREL - 0,075 mg - Tablet;Uitsluitend recept
PEMETREXED - 7,5 mg/ml - Oplossing voor infusie;Uitsluitend recept
AMLODIPINE/OLMESARTANMEDOXOMIL - 20 mg/5 mg - Filmomhulde tablet;Uitsluitend recept
OLMESARTANMEDOXOMIL - 10 mg - Filmomhulde tablet;Uitsluitend recept
DIENOGEST - 2 mg - Tablet;Uitsluitend recept
DISTIKSTOFOXIDE (E 942)/ZUURSTOF, MEDICINAAL (E 948) - 50%/50% - Medicinaal gas;Uitsluitend recept
TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;Uitsluitend recept
INTERFERON GAMMA-1B - 10.6 IE - Oplossing voor injectie;Uitsluitend recept
DILTIAZEM - 240 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
PERINDOPRIL - 8 mg - Tablet;Uitsluitend recept
TOBRAMYCINE - 40 mg/ml - Oplossing voor injectie;Uitsluitend recept
ATORVASTATINE/EZETIMIB - 10 mg/80 mg - Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE - 50 mg - Tablet;Uitsluitend recept
BORTEZOMIB ANHYDRIDE - 2,5 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
APOMORFINEHEMIHYDRAAT - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
LEVETIRACETAM - 100mg/ml - Drank;Uitsluitend recept
FLUOXETINE - 20 mg - Dispergeerbare tablet;Uitsluitend recept
RISEDRONAAT/RISEDRONINEZUUR - 75 mg - Filmomhulde tablet;Uitsluitend recept
NICLOSAMIDE - 500 mg - Kauwtablet;Uitsluitend recept
METAMIZOL - 250 mg - Tablet;Uitsluitend recept
PREGABALINE - 25 mg - Capsule;Uitsluitend recept
METHYLFENIDAAT - 10 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
GLYCOPYRRONIUM/NEOSTIGMINE METHYL - 0,5 mg/ml - Oplossing voor injectie;Uitsluitend recept
LINEZOLID - 2 mg/ml - Oplossing voor infusie;Uitsluitend recept
CARBIDOPA/LEVODOPA - 10 mg/100 mg - Tablet;Uitsluitend recept
BUPRENORFINE - 20 microgram/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
PALIPERIDONPALMITAAT - 100 mg - Suspensie voor injectie met verlengde afgifte;Uitsluitend recept
VORICONAZOL - 200 mg - Filmomhulde tablet;Uitsluitend recept
CHOLECALCIFEROL - 1.000 IE - Capsule;Uitsluitend recept
FENYTOÏNE - 250 mg/5 ml - Oplossing voor injectie;Uitsluitend recept
METHYLFENIDAAT - 20 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
LEVOTHYROXINE - 137 microgram - Tablet;Uitsluitend recept
METHYLFENIDAAT - 54 mg - Tablet met verlengde afgifte;Uitsluitend recept
NEBIVOLOL - 1,25 mg - Tablet;Uitsluitend recept
IJZER(III)CARBOXYMALTOSE - 50 mg/ml - Dispersie voor injectie of infusie;Uitsluitend recept
SUNITINIB - 25 mg - Capsule;Uitsluitend recept
GEÏNACTIVEERD LEPTOSPIRA INTERROGANS SEROGROUP ICTEROHAEMORRHAGIAE SEROVAR ICTEROHAEMORRHAGIAE Stam Verdun -  - Suspensie voor injectie;Uitsluitend recept
PREGABALINE - 50 mg - Capsule;Uitsluitend recept
RIFAMPICINE - 150 mg - Capsule;Uitsluitend recept
CARBIDOPA/ENTACAPONE/LEVODOPA - 75 mg/18.75 mg/200 mg - Filmomhulde tablet;Uitsluitend recept
ALLERGENEN VAN GRASPOLLENMENGSELEXTRACT (Stallergenes S.A.) -  - Tablet voor sublinguaal gebruik;Uitsluitend recept
SUGAMMADEX - 100 mg/ml - Oplossing voor injectie;Uitsluitend recept
NAPROXEN - 250 mg - Tablet;Uitsluitend recept
VERAPAMIL - 80 mg - Filmomhulde tablet;Uitsluitend recept
FENTANYL - 800 microgram - Tablet voor sublinguaal gebruik;Uitsluitend recept
ABACAVIR/LAMIVUDINE - 600 mg/300 mg - Filmomhulde tablet;Uitsluitend recept
VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met verlengde afgifte;Uitsluitend recept
METHOTREXAAT - 7,5 mg - Oplossing voor injectie;Uitsluitend recept
PROPOFOL - 10 mg/ml - Emulsie voor injectie;Uitsluitend recept
LEVOMETHADON - 10 mg - Drank;Uitsluitend recept
MORFINE - 5 mg - Tablet met verlengde afgifte;Uitsluitend recept
FLUDEOXYGLUCOSE (18F) - 250 MBq/ml - Oplossing voor injectie;Uitsluitend recept
CHLOORPROTHIXEEN - 15 mg - Filmomhulde tablet;Uitsluitend recept
FENTOLAMINE/PAPAVERINE -  - Oplossing voor injectie;Uitsluitend recept
EPOPROSTENOL - 1,5 mg - Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
ARIPIPRAZOL - 30 mg - Tablet;Uitsluitend recept
LAMOTRIGINE - 25 mg - Dispergeerbare tablet;Uitsluitend recept
PYRIMETHAMINE - 25 mg - Tablet;Uitsluitend recept
CYCLOFOSFAMIDE - 500 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
QUETIAPINE - 150 mg - Filmomhulde tablet;Uitsluitend recept
EZETIMIB/SIMVASTATINE - 10 mg/40 mg - Tablet;Uitsluitend recept
CHOLECALCIFEROL - 400 IE - Capsule;Uitsluitend recept
(E 170)/CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 500 mg/800 IE - Kauwtablet;Uitsluitend recept
BROMOCRIPTINE - 5 mg - Capsule;Uitsluitend recept
PROPRANOLOL - 40 mg - Tablet;Uitsluitend recept
BACLOFEN - 0,5 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
REMIFENTANIL - 5 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
LACOSAMIDE - 50 mg - Filmomhulde tablet;Uitsluitend recept
EVEROLIMUS - 2,5 mg - Tablet;Uitsluitend recept
GALANTAMINE - 16 mg - Capsule met verlengde afgifte;Uitsluitend recept
PRAMIPEXOL - 1,57 mg - Tablet met verlengde afgifte;Uitsluitend recept
PALIPERIDONPALMITAAT - 25 mg - Suspensie voor injectie;Uitsluitend recept
ENOXAPARINE - 2.000 IE - Oplossing voor injectie;Uitsluitend recept
METHOTREXAAT - 15 mg - Oplossing voor injectie;Uitsluitend recept
DROSPIRENON/ETHINYLESTRADIOL - 0,03 mg / 3 mg - Filmomhulde tablet;Uitsluitend recept
TINZAPARINE - 4.500 IE - Oplossing voor injectie;Uitsluitend recept
DIFTERIETOXOÏDE, GEADSORBEERD/POLIOMYELITIS VIRUS, TRIVALENT, GEINACTIVEERD/TETANUSTOXOÏDE, GEADSORBEERD, GEINACTIVEERD -  - Suspensie voor injectie;Uitsluitend recept
GOZETOTIDETRIFLUOR - 10 microgram - Kit voor radiofarmaceutisch preparaat;Uitsluitend recept
GLIMEPIRIDE - 4 mg - Tablet;Uitsluitend recept
TRAMADOL - 50 mg - Bruistablet;Uitsluitend recept
LANTHAAN - 1000 mg - Kauwtablet;Uitsluitend recept
TRAZODON - 50 mg - Tablet;Uitsluitend recept
CHOLECALCIFEROL - 11.200 IE - Capsule;Uitsluitend recept
DARUNAVIR - 800 mg - Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 150 mg/12,5 mg - Tablet;Uitsluitend recept
PIMECROLIMUS - 10 mg/g - Crème;Uitsluitend recept
(E 518) - 100 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
LEVOTHYROXINE - 100 microgram - Tablet;Uitsluitend recept
A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-THAILAND-8-2022, IVR-237)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type) -  - Suspensie voor injectie;Uitsluitend recept
QUETIAPINE - 300 mg - Tablet met verlengde afgifte;Uitsluitend recept
LOSARTAN - 100 mg - Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 40 mg/5 mg/25 mg - Filmomhulde tablet;Uitsluitend recept
CHOLECALCIFEROL - 50000 IE - Capsule;Uitsluitend recept
TRAMADOL - 150 mg - Tablet met verlengde afgifte;Uitsluitend recept
DESFLURAAN - 100% - Inhalatiegas;Uitsluitend recept
THIOTEPA - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
LEVOMETHADON - 60 mg - Drank;Uitsluitend recept
IRBESARTAN - 150 mg - Filmomhulde tablet;Uitsluitend recept
