PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
INFLIXIMAB - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Flixabi 100 mg, poeder voor concentraat voor oplossing voor infusie;100 mg;INFLIXIMAB;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ISOPRENALINE - 1 mg/5 ml - Concentraat voor oplossing voor infusie;Labrycor 1 mg/5 ml concentraat voor oplossing voor infusie;1 mg/5 ml;ISOPRENALINE;Concentraat voor oplossing voor infusie;Uitsluitend recept
APIXABAN - 2 mg - Granulaat;Eliquis 2 mg omhuld granulaat in sachet;2 mg;APIXABAN;Granulaat;Uitsluitend recept
ATORVASTATINE  /EZETIMIB - 10 mg/20 mg - Filmomhulde tablet;Ezetimibe/Atorvastatine Hexal 10 mg/20 mg, filmomhulde tabletten;10 mg/20 mg;ATORVASTATINE  /EZETIMIB;Filmomhulde tablet;Uitsluitend recept
VARENICLINE - 1 mg - Filmomhulde tablet;Varenicline axunio 1 mg filmomhulde tabletten;1 mg;VARENICLINE;Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN - 5 mg/160 mg/12,5 mg - Filmomhulde tablet;Dipperam/HCT Sandoz 5 mg/160 mg/12,5 mg, filmomhulde tabletten;5 mg/160 mg/12,5 mg;AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
MIRTAZAPINE - 30 mg - Filmomhulde tablet;Mirtazapine Sandoz 30, filmomhulde tabletten 30 mg;30 mg;MIRTAZAPINE;Filmomhulde tablet;Uitsluitend recept
AVATROMBOPAG - 20 mg - Filmomhulde tablet;Doptelet 20 mg, filmomhulde tablet;20 mg;AVATROMBOPAG;Filmomhulde tablet;Uitsluitend recept
SALVIA OFFICINALIS/SALVIA OFFICINALIS/SALVIA OFFICINALIS/SALVIA OFFICINALIS -  - ;Salvia officinalis;;SALVIA OFFICINALIS/SALVIA OFFICINALIS/SALVIA OFFICINALIS/SALVIA OFFICINALIS;;Uitsluitend apotheek of drogist
AMLODIPINE/OLMESARTANMEDOXOMIL - 20 mg/5 mg - Filmomhulde tablet;Olmesartan medoxomil/Amlodipine RAFARM 20 mg/5 mg, filmomhulde tabletten;20 mg/5 mg;AMLODIPINE/OLMESARTANMEDOXOMIL;Filmomhulde tablet;Uitsluitend recept
DABIGATRAN - 75 mg - Capsule;Pradaxa 75 mg harde capsules;75 mg;DABIGATRAN;Capsule, hard;Uitsluitend recept
ACALYPHA INDICA -  - Globuli;Acalypha indica;;ACALYPHA INDICA;Globuli;Uitsluitend apotheek of drogist
TADALAFIL - 2,5 mg - Filmomhulde tablet;Tadalafil 1A Pharma 2,5 mg, filmomhulde tabletten;2,5 mg;TADALAFIL;Filmomhulde tablet;Uitsluitend recept
DARBEPOETINE ALFA -  - Oplossing voor injectie;Aranesp 40 microgam oplossing voor injectie in een flacon;;DARBEPOETINE ALFA;Oplossing voor injectie;Uitsluitend recept
ABEMACICLIB - 150 mg - Filmomhulde tablet;Verzenios 150 mg filmomhulde tabletten;150 mg;ABEMACICLIB;Filmomhulde tablet;Uitsluitend recept
NINTEDANI - 100 mg - Capsule;Nintedanib Teva 100 mg, zachte capsules;100 mg;NINTEDANI;Capsule, zacht;Uitsluitend recept
CAPECITABINE - 300 mg - Filmomhulde tablet;Ecansya 300 mg, filmomhulde tabletten;300 mg;CAPECITABINE;Filmomhulde tablet;Uitsluitend recept
FENTANYL - 400 microgram - Neusspray;PecFent 400 microgram/spray, neusspray, oplossing;400 microgram;FENTANYL;Neusspray, oplossing;Uitsluitend recept
RILUZOL - 50 mg - Filmomhulde tablet;Riluzol Hexal 50 mg, filmomhulde tabletten;50 mg;RILUZOL;Filmomhulde tablet;Uitsluitend recept
SABADILLA -  - ;Sabadilla;;SABADILLA;;Uitsluitend apotheek of drogist
FLUCONAZOL - 50 mg - Capsule;Fluconazol Sandoz 50 mg, harde capsules;50 mg;FLUCONAZOL;Capsule, hard;Uitsluitend recept
EVEROLIMUS - 5 mg - Tablet;Everolimus Zentiva 5 mg, tabletten;5 mg;EVEROLIMUS;Tablet;Uitsluitend recept
INSULINE GLULISINE - 100 Eenheden/ml - Oplossing voor injectie;Apidra 100 Eenheden/ml oplossing voor injectie in injectieflacon;100 Eenheden/ml;INSULINE GLULISINE;Oplossing voor injectie;Uitsluitend recept
EMPAGLIFLOZINE - 10 mg - Filmomhulde tablet;Glusod 10 mg filmomhulde tabletten;10 mg;EMPAGLIFLOZINE;Filmomhulde tablet;Uitsluitend recept
CAUSTICUM /CAUSTICUM /CAUSTICUM /CAUSTICUM /CAUSTICUM -  - Globuli;Causticum;;CAUSTICUM /CAUSTICUM /CAUSTICUM /CAUSTICUM /CAUSTICUM;Globuli;Uitsluitend apotheek of drogist
PALONOSETRON - 500 microgram - Capsule;Aloxi, 500 micrograms capsules, zacht;500 microgram;PALONOSETRON;Capsule, zacht;Uitsluitend recept
SEMAGLUTIDE - 3 mg - Tablet;Rybelsus 3 mg, tablet;3 mg;SEMAGLUTIDE;Tablet;Uitsluitend recept
RITONAVIR - 100 mg - Filmomhulde tablet;Ritonavir Viatris 100 mg, filmomhulde tabletten;100 mg;RITONAVIR;Filmomhulde tablet;Uitsluitend recept
ESLICARBAZEPINE - 600 mg - Tablet;Zebinix 600 mg, tabletten;600 mg;ESLICARBAZEPINE;Tablet;Uitsluitend recept
IXEKIZUMAB - 80 mg - Oplossing voor injectie;Taltz 80 mg oplossing voor injectie in voorgevulde injectiespuit/ voorgevulde pen;80 mg;IXEKIZUMAB;Oplossing voor injectie;Uitsluitend recept
IRBESARTANSESQUIHYDRAAT - 75 mg - Filmomhulde tablet;Ifirmasta 75 mg filmomhulde tabletten;75 mg;IRBESARTANSESQUIHYDRAAT;Filmomhulde tablet;Uitsluitend recept
ABROCITINIB - 200 mg - Filmomhulde tablet;Cibinqo 200 mg, filmomhulde tabletten;200 mg;ABROCITINIB;Filmomhulde tablet;Uitsluitend recept
LENALIDOMIDE - 5 mg - Capsule;Lenalidomide Reddy 5 mg harde capsules;5 mg;LENALIDOMIDE;Capsule, hard;Uitsluitend recept
BARNIDIPINE - 20 mg - Capsule met gereguleerde afgifte;Barnidipine HCl Sigillata 20 mg, harde capsules met gereguleerde afgifte;20 mg;BARNIDIPINE;Capsule met gereguleerde afgifte, hard;Uitsluitend recept
CARBIDOPA /ENTACAPONE/LEVODOPA - 200 mg/50 mg/200 mg - Filmomhulde tablet;Levodopa/Carbidopa/Entacapone Lannacher 200 mg/50 mg/200 mg filmomhulde tabletten;200 mg/50 mg/200 mg;CARBIDOPA /ENTACAPONE/LEVODOPA;Filmomhulde tablet;Uitsluitend recept
LOPINAVIR/RITONAVIR - 100 mg/25 mg - Filmomhulde tablet;Lopinavir/Ritonavir Viatris 100 mg/25 mg, filmomhulde tabletten;100 mg/25 mg;LOPINAVIR/RITONAVIR;Filmomhulde tablet;Uitsluitend recept
IVABRADINE - 5 mg - Filmomhulde tablet;Ivabradine Teva 5 mg, filmomhulde tabletten;5 mg;IVABRADINE;Filmomhulde tablet;Uitsluitend recept
ADALIMUMAB - 40 mg - Oplossing voor injectie;Idacio 40 mg, oplossing voor injectie in voorgevulde pen;40 mg;ADALIMUMAB;Oplossing voor injectie;Uitsluitend recept
DEFERASIROX - 360 mg - Filmomhulde tablet;Deferasirox RAFARM 360 mg, filmomhulde tabletten;360 mg;DEFERASIROX;Filmomhulde tablet;Uitsluitend recept
PLUMBUM METALLICUM/PLUMBUM METALLICUM/PLUMBUM METALLICUM/PLUMBUM METALLICUM/PLUMBUM METALLICUM -  - Globuli;Plumbum metallicum;;PLUMBUM METALLICUM/PLUMBUM METALLICUM/PLUMBUM METALLICUM/PLUMBUM METALLICUM/PLUMBUM METALLICUM;Globuli;Uitsluitend apotheek of drogist
CUPRESSUS SEMPERVIRENS -  - Globuli;Cupressus sempervirens;;CUPRESSUS SEMPERVIRENS;Globuli;Uitsluitend apotheek of drogist
BUPRENORFINE - 64 mg - Oplossing voor injectie;Buvidal 64 mg oplossing voor injectie met verlengde afgifte;64 mg;BUPRENORFINE;Oplossing voor injectie;Uitsluitend recept
ARTEMISIA VULGARIS -  - ;Artemisia vulgaris;;ARTEMISIA VULGARIS;;Uitsluitend apotheek of drogist
PREGABALINE - 25 mg - Capsule;Pregabalin Pfizer 25 mg, harde capsules;25 mg;PREGABALINE;Capsule, hard;Uitsluitend recept
CENTAURIUM ERYTHRAEA/CENTAURIUM ERYTHRAEA -  - Globuli;Centaurium erythraea;;CENTAURIUM ERYTHRAEA/CENTAURIUM ERYTHRAEA;Globuli;Uitsluitend apotheek of drogist
CALCAREA SULPHURICA -  - ;Calcarea sulphurica;;CALCAREA SULPHURICA;;Uitsluitend apotheek of drogist
LEVEND VERZWAKT INFLUENZAVIRUS A-DARWIN-9-2021 (H3N2)-ACHTIGE STAM (A-NORWAY-16606-2021, MEDI 355293)/LEVEND VERZWAKT INFLUENZAVIRUS A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-NORWAY-31694-2022, MEDI 369815) /LEVEND VERZWAKT INFLUENZAVIRUS B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, MEDI 355292)/LEVEND VERZWAKT INFLUENZAVIRUS B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, MEDI 306444) -  - Neusspray;Fluenz Tetra neusspray, suspensie;;LEVEND VERZWAKT INFLUENZAVIRUS A-DARWIN-9-2021 (H3N2)-ACHTIGE STAM (A-NORWAY-16606-2021, MEDI 355293)/LEVEND VERZWAKT INFLUENZAVIRUS A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-NORWAY-31694-2022, MEDI 369815) /LEVEND VERZWAKT INFLUENZAVIRUS B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, MEDI 355292)/LEVEND VERZWAKT INFLUENZAVIRUS B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, MEDI 306444);Neusspray, suspensie;Uitsluitend recept
VERONICA OFFICINALIS/VERONICA OFFICINALIS/VERONICA OFFICINALIS/VERONICA OFFICINALIS -  - ;Veronica officinalis;;VERONICA OFFICINALIS/VERONICA OFFICINALIS/VERONICA OFFICINALIS/VERONICA OFFICINALIS;;Uitsluitend apotheek of drogist
EZETIMIB/ROSUVASTATINE - 5 mg/10 mg - Filmomhulde tablet;Rozesta 5 mg/10 mg filmomhulde tabletten;5 mg/10 mg;EZETIMIB/ROSUVASTATINE;Filmomhulde tablet;Uitsluitend recept
RETEPLASE -  - Poeder en oplosmiddel voor oplossing voor injectie;Rapilysin 10 U, poeder voor injectievloeistof 10 U;;RETEPLASE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ECHINACEA PURPUREA -  - Druppels voor oraal gebruik;Echinacea purpurea;;ECHINACEA PURPUREA;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
ERAVACYCLINE - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Xerava 100 mg poeder voor concentraat voor oplossing voor infusie;100 mg;ERAVACYCLINE;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
DEFERASIROX - 180 mg - Filmomhulde tablet;Deferasirox Mylan 180 mg, filmomhulde tabletten;180 mg;DEFERASIROX;Filmomhulde tablet;Uitsluitend recept
SORAFENIBTOSYLAAT - 200mg - Filmomhulde tablet;Sorafenib Accord 200mg, filmomhulde tablet;200mg;SORAFENIBTOSYLAAT;Filmomhulde tablet;Uitsluitend recept
ARIPIPRAZOL - 7,5 mg/ml - Oplossing voor injectie;Abilify 7,5 mg/ml, oplossing voor injectie;7,5 mg/ml;ARIPIPRAZOL;Oplossing voor injectie;Uitsluitend recept
PAROXETINE - 20 mg - Filmomhulde tablet;Paroxetine GSK 20 mg, filmomhulde tabletten;20 mg;PAROXETINE;Filmomhulde tablet;Uitsluitend recept
RIVASTIGMINE - 4,5 mg - Capsule;Nimvastid 4,5 mg harde capsules, capsules, hard;4,5 mg;RIVASTIGMINE;Capsule, hard;Uitsluitend recept
POMALIDOMIDE - 3 mg - Capsule;Imnovid 3 mg, harde capsules;3 mg;POMALIDOMIDE;Capsule, hard;Uitsluitend recept
INSULINE LISPRO -  - Oplossing voor injectie;Humalog 100 E/ml Junior KwikPen, oplossing voor injectie in een voorgevulde pen;;INSULINE LISPRO;Oplossing voor injectie;Uitsluitend recept
ENOXAPARINE - 15.000 IE - Oplossing voor injectie;Inhixa 15.000 IE (150 mg)/1 ml oplossing voor injectie;15.000 IE;ENOXAPARINE;Oplossing voor injectie;Uitsluitend recept
INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN - 100 internationale eenheden/ml - Suspensie voor injectie;Actraphane 40 Penfill 100 internationale eenheden/ml suspensie voor injectie in patroon;100 internationale eenheden/ml;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN;Suspensie voor injectie;Uitsluitend recept
DARBEPOETINE ALFA - 60 microgram - Oplossing voor injectie;Aranesp 60 microgram, oplossing voor injectie in een voorgevulde spuit;60 microgram;DARBEPOETINE ALFA;Oplossing voor injectie;Uitsluitend recept
SITAGLIPTINE - 50 mg - Filmomhulde tablet;Ristaben 50 mg, filmomhulde tablet;50 mg;SITAGLIPTINE;Filmomhulde tablet;Uitsluitend recept
QUETIAPINE - 100 mg - Filmomhulde tablet;Quetiapine Neuraxpharm 100 mg, filmomhulde tabletten;100 mg;QUETIAPINE;Filmomhulde tablet;Uitsluitend recept
ARIPIPRAZOL - 15 mg - Orodispergeerbare tablet;Aripiprazole Zentiva 15 mg, orodispergeerbare tabletten;15 mg;ARIPIPRAZOL;Orodispergeerbare tablet;Uitsluitend recept
MERCAPTAMINE - 50 mg - Capsule;Cystagon, capsules 50 mg;50 mg;MERCAPTAMINE;Capsule, hard;Uitsluitend recept
FOLLITROPINE ALFA - 450 IE/0,75 ml - Oplossing voor injectie;Ovaleap 450 IE/0,75 ml oplossing voor injectie;450 IE/0,75 ml;FOLLITROPINE ALFA;Oplossing voor injectie;Uitsluitend recept
HEPAR SULPHUR/HEPAR SULPHUR/HEPAR SULPHUR/HEPAR SULPHUR -  - ;Hepar sulphur;;HEPAR SULPHUR/HEPAR SULPHUR/HEPAR SULPHUR/HEPAR SULPHUR;;Uitsluitend apotheek of drogist
APIXABAN - 2,5 mg - Filmomhulde tablet;Apixaban Teva 2,5 mg, filmomhulde tabletten;2,5 mg;APIXABAN;Filmomhulde tablet;Uitsluitend recept
LEVEND VERZWAKT INFLUENZAVIRUS A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-THAILAND-8-2022, MEDI 370626)/LEVEND VERZWAKT INFLUENZAVIRUS A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-NORWAY-31694-2022, MEDI 369815) /LEVEND VERZWAKT INFLUENZAVIRUS B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, MEDI 355292) -  - Neusspray;Fluenz neusspray, suspensie;;LEVEND VERZWAKT INFLUENZAVIRUS A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-THAILAND-8-2022, MEDI 370626)/LEVEND VERZWAKT INFLUENZAVIRUS A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-NORWAY-31694-2022, MEDI 369815) /LEVEND VERZWAKT INFLUENZAVIRUS B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, MEDI 355292);Neusspray, suspensie;Uitsluitend recept
ISATUXIMAB - 20 mg/ml - Concentraat voor oplossing voor infusie;Sarclisa 20 mg/ml, concentraat voor oplossing voor infusie;20 mg/ml;ISATUXIMAB;Concentraat voor oplossing voor infusie;Uitsluitend recept
CAPECITABINE - 150 mg - Filmomhulde tablet;Capecitabine medac 150 mg filmomhulde tablet;150 mg;CAPECITABINE;Filmomhulde tablet;Uitsluitend recept
TIRZEPATIDE - 7,5 mg - Oplossing voor injectie;Mounjaro 7,5 mg oplossing voor injectie in injectieflacon;7,5 mg;TIRZEPATIDE;Oplossing voor injectie;Uitsluitend recept
MEROPENEM /VABORBACTAM - 1 g/1 g - Poeder voor concentraat voor oplossing voor infusie;Vaborem 1 g/1 g, poeder voor concentraat voor oplossing voor infusie;1 g/1 g;MEROPENEM /VABORBACTAM;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
EQUISETUM HYEMALE/EQUISETUM HYEMALE/EQUISETUM HYEMALE/EQUISETUM HYEMALE -  - ;Equisetum hyemale;;EQUISETUM HYEMALE/EQUISETUM HYEMALE/EQUISETUM HYEMALE/EQUISETUM HYEMALE;;Uitsluitend apotheek of drogist
RANUNCULUS BULBOSUS/RANUNCULUS BULBOSUS/RANUNCULUS BULBOSUS/RANUNCULUS BULBOSUS -  - ;Ranunculus bulbosus;;RANUNCULUS BULBOSUS/RANUNCULUS BULBOSUS/RANUNCULUS BULBOSUS/RANUNCULUS BULBOSUS;;Uitsluitend apotheek of drogist
ESCHSCHOLTZIA CALIFORNICA -  - ;Eschscholtzia californica;;ESCHSCHOLTZIA CALIFORNICA;;Uitsluitend apotheek of drogist
ARISTOLOCHIA CLEMATITIS/ARISTOLOCHIA CLEMATITIS/ARISTOLOCHIA CLEMATITIS/ARISTOLOCHIA CLEMATITIS -  - ;Aristolochia clematitis;;ARISTOLOCHIA CLEMATITIS/ARISTOLOCHIA CLEMATITIS/ARISTOLOCHIA CLEMATITIS/ARISTOLOCHIA CLEMATITIS;;Uitsluitend apotheek of drogist
TEMOZOLOMIDE - 180 mg - Capsule;Temozolomide Teva 180 mg harde capsules;180 mg;TEMOZOLOMIDE;Capsule, hard;Uitsluitend recept
TARAXACUM OFFICINALE/TARAXACUM OFFICINALE/TARAXACUM OFFICINALE/TARAXACUM OFFICINALE/TARAXACUM OFFICINALE -  - Globuli;Taraxacum officinale;;TARAXACUM OFFICINALE/TARAXACUM OFFICINALE/TARAXACUM OFFICINALE/TARAXACUM OFFICINALE/TARAXACUM OFFICINALE;Globuli;Uitsluitend apotheek of drogist
PEMETREXED - 25 mg/ml - Concentraat voor oplossing voor infusie;Pemetrexed Fresenius Kabi 25 mg/ml concentraat voor oplossing voor infusie;25 mg/ml;PEMETREXED;Concentraat voor oplossing voor infusie;Uitsluitend recept
CARGLUMINEZUUR - 200 mg - Dispergeerbare tablet;Ucedane 200 mg dispergeerbare tabletten;200 mg;CARGLUMINEZUUR;Dispergeerbare tablet;Uitsluitend recept
MEMANTINE - 10 mg - Filmomhulde tablet;Mantomed 10 mg, filmomhulde tabletten;10 mg;MEMANTINE;Filmomhulde tablet;Uitsluitend recept
CAPECITABINE - 150 mg - Filmomhulde tablet;Xeloda 150 mg filmomhulde tabletten;150 mg;CAPECITABINE;Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;Karvezide 300 mg/12,5 mg tabletten;300 mg/12,5 mg;HYDROCHLOORTHIAZIDE/IRBESARTAN;Tablet;Uitsluitend recept
AMMONIUM MURIATICUM/AMMONIUM MURIATICUM/AMMONIUM MURIATICUM/AMMONIUM MURIATICUM -  - ;Ammonium muriaticum;;AMMONIUM MURIATICUM/AMMONIUM MURIATICUM/AMMONIUM MURIATICUM/AMMONIUM MURIATICUM;;Uitsluitend apotheek of drogist
ARUM TRIPHYLLUM -  - Globuli;Arum triphyllum;;ARUM TRIPHYLLUM;Globuli;Uitsluitend apotheek of drogist
PANTOPRAZOL - 20 mg - Maagsapresistente tablet;Pantozol Control 20 mg maagsapresistente tabletten;20 mg;PANTOPRAZOL;Maagsapresistente tablet;Uitsluitend apotheek of drogist
METFORMINE/SITAGLIPTINE - 50mg/1000 mg - Filmomhulde tablet;Sitagliptine/Metformine hydrochloride DOC Generici 50mg/1000 mg, filmomhulde tabletten;50mg/1000 mg;METFORMINE/SITAGLIPTINE;Filmomhulde tablet;Uitsluitend recept
RIVASTIGMINE - 3 mg - Capsule;Rivastigmine Hexal 3 mg, capsules, hard;3 mg;RIVASTIGMINE;Capsule, hard;Uitsluitend recept
OLANZAPINE - 20 mg - Filmomhulde tablet;Olanzapine Teva 20 mg, filmomhulde tabletten;20 mg;OLANZAPINE;Filmomhulde tablet;Uitsluitend recept
RIVAROXABAN - 10 mg - Filmomhulde tablet;Rivaroxaban Sandoz 10 mg, filmomhulde tabletten;10 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
OXALICUM ACIDUM -  - ;Oxalicum acidum;;OXALICUM ACIDUM;;Uitsluitend apotheek of drogist
GUSELKUMAB - 100 mg - Oplossing voor injectie;Tremfya 100 mg, oplossing voor injectie in voorgevulde spuit;100 mg;GUSELKUMAB;Oplossing voor injectie;Uitsluitend recept
DASIGLUCAGON - 0,6 mg - Oplossing voor injectie;Zegalogue 0,6 mg oplossing voor injectie in voorgevulde injectiespuit;0,6 mg;DASIGLUCAGON;Oplossing voor injectie;Uitsluitend recept
INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN - 100 internationale eenheden/ml - Suspensie voor injectie;Actraphane 30 FlexPen 100 internationale eenheden/ml suspensie voor injectie in voorgevulde pen;100 internationale eenheden/ml;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN;Suspensie voor injectie;Uitsluitend recept
CARFILZOMIB - 60 mg - Poeder voor oplossing voor injectie;Kyprolis 60 mg, poeder voor oplossing voor injectie;60 mg;CARFILZOMIB;Poeder voor oplossing voor injectie;Uitsluitend recept
LENALIDOMIDE - 15 mg - Capsule;Lenalidomide Reddy 15 mg harde capsules;15 mg;LENALIDOMIDE;Capsule, hard;Uitsluitend recept
EFBEMALENOGRASTIM ALFA - 20 mg - Oplossing voor injectie;Ryzneuta 20 mg oplossing voor injectie;20 mg;EFBEMALENOGRASTIM ALFA;Oplossing voor injectie;Uitsluitend recept
PREGABALINE - 300 mg - Capsule;Linefor 300 mg, harde capsules;300 mg;PREGABALINE;Capsule, hard;Uitsluitend recept
CABOTEGRAVIR - 400 mg - Suspensie voor injectie;Vocabria 400 mg suspensie voor injectie met verlengde afgifte;400 mg;CABOTEGRAVIR;Suspensie voor injectie;Uitsluitend recept
FEDRATINIB - 100 mg - Capsule;Inrebic 100 mg, harde capsules;100 mg;FEDRATINIB;Capsule, hard;Uitsluitend recept
MELILOTUS OFFICINALIS/MELILOTUS OFFICINALIS/MELILOTUS OFFICINALIS/MELILOTUS OFFICINALIS -  - ;Melilotus officinalis;;MELILOTUS OFFICINALIS/MELILOTUS OFFICINALIS/MELILOTUS OFFICINALIS/MELILOTUS OFFICINALIS;;Uitsluitend apotheek of drogist
CARBIDOPA /ENTACAPONE/LEVODOPA - 175/43,75/200 mg - Filmomhulde tablet;Levodopa/Carbidopa/Entacapon Pharmexon 175/43,75/200 mg, filmomhulde tabletten;175/43,75/200 mg;CARBIDOPA /ENTACAPONE/LEVODOPA;Filmomhulde tablet;Uitsluitend recept
EZETIMIB/SIMVASTATINE - 10 mg/20 mg - Tablet;Simvezor 10 mg/20 mg tabletten;10 mg/20 mg;EZETIMIB/SIMVASTATINE;Tablet;Uitsluitend recept
EPOËTINE ALFA - 40000 IE/1 ml - Oplossing voor injectie;Epoetin alfa HEXAL 40000 IE/1 ml oplossing voor injectie in een voorgevulde spuit;40000 IE/1 ml;EPOËTINE ALFA;Oplossing voor injectie;Uitsluitend recept
INSULINE ASPART - 100 eenheden/ml - Suspensie voor injectie;Truvelog Mix 30 100 eenheden/ml suspensie voor injectie in een voorgevulde pen;100 eenheden/ml;INSULINE ASPART;Suspensie voor injectie;Uitsluitend recept
TUROCTOCOG ALFA PEGOL - 2000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Esperoct 2000 IE, poeder en oplosmiddel voor oplossing voor injectie;2000 IE;TUROCTOCOG ALFA PEGOL;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 300/12,5 mg - Filmomhulde tablet;Irbesartan comp HEXAL 300/12,5 mg, filmomhulde tabletten;300/12,5 mg;HYDROCHLOORTHIAZIDE/IRBESARTAN;Filmomhulde tablet;Uitsluitend recept
SOFOSBUVIR/VELPATASVIR - 400 mg/100 mg - Filmomhulde tablet;Epclusa 400 mg/100 mg filmomhulde tablet;400 mg/100 mg;SOFOSBUVIR/VELPATASVIR;Filmomhulde tablet;Uitsluitend recept
ALBUTREPENONACOG ALFA -  - Poeder en oplosmiddel voor oplossing voor injectie;Idelvion 100 IU/ml,  poeder en oplosmiddel voor oplossing voor injectie;;ALBUTREPENONACOG ALFA;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
BIMATOPROST - 0,1 mg/ml - Oogdruppels;Lumigan 0,1 mg/ml oogdruppels, oplossing;0,1 mg/ml;BIMATOPROST;Oogdruppels, oplossing;Uitsluitend recept
BUXUS SEMPERVIRENS -  - Globuli;Buxus sempervirens;;BUXUS SEMPERVIRENS;Globuli;Uitsluitend apotheek of drogist
ESCITALOPRAM - 5 mg - Orodispergeerbare tablet;Escitalopram Polpharma 5 mg orodispergeerbare tabletten;5 mg;ESCITALOPRAM;Orodispergeerbare tablet;Uitsluitend recept
ORLISTAT - 60 mg - Capsule;Alli 60 mg, harde capsules;60 mg;ORLISTAT;Capsule, hard;Uitsluitend apotheek
STIRIPENTOL - 250 mg - Poeder voor orale suspensie;Diacomit 250 mg, poeder voor orale suspensie;250 mg;STIRIPENTOL;Poeder voor orale suspensie;Uitsluitend recept
STIKSTOFOXIDE -  - Inhalatiegas;INOmax 800 ppm mol/mol inhalatiegas;;STIKSTOFOXIDE;Inhalatiegas;Uitsluitend recept
EPOETINE THETA - 1000 IE/0,5 ml - Oplossing voor injectie;Biopoin 1000 IE/0,5 ml, oplossing voor injectie in voorgevulde spuit;1000 IE/0,5 ml;EPOETINE THETA;Oplossing voor injectie;Uitsluitend recept
IXAZOMIB - 3 mg - Capsule;NINLARO 3 mg harde capsules;3 mg;IXAZOMIB;Capsule, hard;Uitsluitend recept
INTERFERON ALFA-2B -  - Oplossing voor injectie;IntronA 18 miljoen IE, oplossing voor injectie in een multidosis pen;;INTERFERON ALFA-2B;Oplossing voor injectie;Uitsluitend recept
POMALIDOMIDE - 1 mg - Capsule;Pomalidomide Accord 1 mg harde capsules;1 mg;POMALIDOMIDE;Capsule, hard;Uitsluitend recept
FOSTEMSAVIR TROMETHAMINE - 600 mg - Tablet met verlengde afgifte;Rukobia 600 mg tabletten met verlengde afgifte;600 mg;FOSTEMSAVIR TROMETHAMINE;Tablet met verlengde afgifte;Uitsluitend recept
PRAMIPEXOL - 1,1 mg - Tablet;Oprymea 1,1 mg, tablet;1,1 mg;PRAMIPEXOL;Tablet;Uitsluitend recept
UPADACITINIB - 30 mg - Tablet met verlengde afgifte;RINVOQ 30 mg tabletten met verlengde afgifte;30 mg;UPADACITINIB;Tablet met verlengde afgifte;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL - 20.000 IE - Capsule;Cholecalciferol Teva 20.000 IE, zachte capsules;20.000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL;Capsule, zacht;Uitsluitend recept
DEFERASIROX - 360 mg - Filmomhulde tablet;Deferasirox Stada 360 mg, filmomhulde tabletten;360 mg;DEFERASIROX;Filmomhulde tablet;Uitsluitend recept
